"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Cassiar Mt","Summer (May-Sep)","min",-3.77,-7.19,-2.77,0,824.61,38.13,-7.42,0,278.63,0,18.43
"Cassiar Mt","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiar Mt","Winter (Oct-Apr)","mean",-9.27,-11.81,-6.49,0.27,829.57,84.66,-11.54,0.5,358.04,5.74,66.9
"Cassiar Mt","Winter (Oct-Apr)","max",7.59,4.61,11.05,21.2,848.91,99.7,3.02,7.11,88.79,28.57,276.5
"Cassiar Mt","Winter (Oct-Apr)","min",-29.89,-32.91,-27.83,0,803.25,37.35,-32.21,0,271.13,0,4.57
"Cassiar Mt","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Central Plateau Finlay","Summer (May-Sep)","mean",13.2,6.58,20.55,1.64,945.33,75.29,7.85,0.24,353.22,3.19,124.28
"Central Plateau Finlay","Summer (May-Sep)","max",27.3,17.53,38.59,31,964.05,100,18.33,0.96,89.96,8.72,356.45
"Central Plateau Finlay","Summer (May-Sep)","min",0.9,-5.31,3.74,0,919.28,29.75,-10.15,0,270.14,0.19,18.9
"Central Plateau Finlay","Summer (May-Sep)","obs_na",0,0,0,38,100,23,23,0,0,0,1
"Central Plateau Finlay","Winter (Oct-Apr)","mean",-1.79,Inf,-Inf,1.11,944.68,81.86,-5.01,0.31,348.75,-Inf,33.67
"Central Plateau Finlay","Winter (Oct-Apr)","max",17.15,Inf,26.09,41.4,974.52,100,11.07,1.69,89.89,11.69,262.34
"Central Plateau Finlay","Winter (Oct-Apr)","min",-35.61,-42.08,-Inf,0,908.36,26.88,-41.21,0,270.02,-Inf,0.82
"Central Plateau Finlay","Winter (Oct-Apr)","obs_na",3,0,0,0,49,97,97,14,0,0,0
"Chapman","Summer (May-Sep)","mean",13.09,4.7,21.01,1.2,919.68,72.66,7.43,0.23,11.18,5.46,197.77
"Chapman","Summer (May-Sep)","max",19.9,13.88,31.1,18,927.85,91.83,11.81,0.76,89.43,9.56,299.05
"Chapman","Summer (May-Sep)","min",4.02,-3.3,10.22,0,910.37,55.14,2.64,0.02,270.48,3.52,84.68
"Chapman","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Chief Lake","Summer (May-Sep)","mean",12.3,4.47,19.89,2.11,928.05,76.51,7.48,0.07,3.83,4.25,183.58
"Chief Lake","Summer (May-Sep)","max",26.57,14.96,38.28,23.2,946.52,99.31,16.13,1.07,89.38,9.56,336.92
"Chief Lake","Summer (May-Sep)","min",0.25,-9.3,7.77,0,911.5,38.2,-5.89,0,270.54,0,27.59
"Chief Lake","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Chief Lake","Winter (Oct-Apr)","mean",-2.95,-8.58,2.1,1.36,927.06,83.51,-5.84,0.11,1.93,4.23,63.93
"Chief Lake","Winter (Oct-Apr)","max",11.62,6.28,21.89,23.4,949.17,100,9.69,1.97,89.16,12.08,279.89
"Chief Lake","Winter (Oct-Apr)","min",-31.91,-43.3,-23.14,0,901.87,38.87,-34.38,0,271.24,0,1.86
"Chief Lake","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Coalmine","Summer (May-Sep)","mean",12.16,6.41,18.2,2.42,918.63,77.49,7.64,0,352.44,2.76,64.07
"Coalmine","Summer (May-Sep)","max",29.73,21.15,39.8,33.2,936.06,98.87,16.81,0.04,88.96,7.55,128.27
"Coalmine","Summer (May-Sep)","min",0.03,-5.79,6.26,0,903.47,41.11,-5.16,0,270.42,0,12.01
"Coalmine","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Coalmine","Winter (Oct-Apr)","mean",-2.07,-6.18,2.16,1.73,916.92,84.3,-4.71,0,340.93,3.04,23.69
"Coalmine","Winter (Oct-Apr)","max",13.5,8.24,21.06,26.6,937.9,100,11.38,0.15,89.23,7.05,97.7
"Coalmine","Winter (Oct-Apr)","min",-36.94,-41.39,-29.45,0,878.32,40.72,-39.67,0,270.12,0,0.76
"Coalmine","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","Summer (May-Sep)","mean",12.46,4.62,19.54,1.94,927.12,71.17,6.43,1.05,11.48,-Inf,211.61
"Crystal Lake","Summer (May-Sep)","max",27.69,16.94,38.31,53.4,945.14,96.05,16.75,4.22,89.38,18.74,423.19
"Crystal Lake","Summer (May-Sep)","min",0.42,-9,4.64,0,902.65,30.79,-9.95,0.03,270.02,-Inf,25.46
"Crystal Lake","Summer (May-Sep)","obs_na",0,0,0,34,0,0,0,13,572,0,121
"Crystal Lake","Winter (Oct-Apr)","mean",-3.35,-8.76,1.51,1.48,925.55,82.75,-6.18,0.85,356.54,-Inf,71.51
"Crystal Lake","Winter (Oct-Apr)","max",15.66,10.76,24.63,41.8,955.4,98.04,9.92,4.2,89.98,18.37,315.68
"Crystal Lake","Winter (Oct-Apr)","min",-37.79,-44.87,-27.65,0,898.89,44.05,-41.27,0,270.13,-Inf,1.6
"Crystal Lake","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,27,678,0,63
"Dunster","Summer (May-Sep)","mean",12.81,7.49,18.89,1.74,912.74,73.21,7.48,0.6,1.41,5.74,227.56
"Dunster","Summer (May-Sep)","max",27.01,18.75,37.21,26.2,928.8,96.98,16.63,2.59,89.96,14.1,524.84
"Dunster","Summer (May-Sep)","min",-0.21,-3.57,4.04,0,890.5,33.87,-7.66,0,270.14,1.48,22.59
"Dunster","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Winter (Oct-Apr)","mean",-1.74,-4.82,1.44,1.12,911.56,82.23,-4.64,0.78,340.46,5.97,70.11
"Dunster","Winter (Oct-Apr)","max",13.9,11.2,23.5,32.6,937.07,97.61,10.47,3.13,89.96,15.21,412.02
"Dunster","Winter (Oct-Apr)","min",-30.94,-32.6,-29.32,0,883.67,37.78,-33.37,0,270.01,0,2.02
"Dunster","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Endako","Summer (May-Sep)","mean",11.15,Inf,-Inf,1.35,917.17,70.7,5.24,0.96,359.94,-Inf,222.26
"Endako","Summer (May-Sep)","max",25.4,Inf,36.77,35,935.75,95.94,16.15,3.51,89.8,16.14,419.68
"Endako","Summer (May-Sep)","min",-0.44,-8.16,-Inf,0,889.48,36.08,-7.49,0,270.15,-Inf,24.42
"Endako","Summer (May-Sep)","obs_na",11,0,0,0,37,11,11,5,5,0,0
"Endako","Winter (Oct-Apr)","mean",-3.54,-8.67,1.45,0.83,913.89,81.12,-6.6,0.77,2.34,5.01,77.84
"Endako","Winter (Oct-Apr)","max",13.61,9.85,23.02,34,943.42,97.23,9.98,4.01,89.97,18.37,319.37
"Endako","Winter (Oct-Apr)","min",-33.43,-40.06,-25.67,0,879.18,38.02,-37.21,0,270.03,0,2.17
"Endako","Winter (Oct-Apr)","obs_na",0,0,0,0,208,0,0,0,55,0,0
"George Lake","Summer (May-Sep)","mean",12.07,Inf,-Inf,1.29,913.65,69.03,5.67,0.54,6.24,4.79,190.01
"George Lake","Summer (May-Sep)","max",28.31,Inf,38.25,31.6,932.04,99.01,14.78,3.01,89.97,12.99,375.52
"George Lake","Summer (May-Sep)","min",0.04,-6.42,-Inf,0,886.68,36.32,-8.17,0,270.07,0.5,26.34
"George Lake","Summer (May-Sep)","obs_na",247,0,0,76,0,247,247,0,206,0,205
"George Lake","Winter (Oct-Apr)","mean",-3.46,Inf,-Inf,0.84,910.79,81.82,-6.5,0.51,0.26,4.17,65.87
"George Lake","Winter (Oct-Apr)","max",14.21,Inf,25.65,28.6,940.04,100,10.35,4.39,89.89,15.21,301.13
"George Lake","Winter (Oct-Apr)","min",-34.1,-39.22,-Inf,0,875.77,39.01,-37.22,0,270.08,0,0.92
"George Lake","Winter (Oct-Apr)","obs_na",25,0,0,75,0,25,25,0,334,0,212
