"Site","years","annual","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Boulder Creek","2019","max",21.6,14.67,30.65,24.6,987.02,100,14.55,1.22,89.4,8.72,346.3,0.23,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2019","min",-26.16,-32.67,-15.1,0,939.66,45.67,-28.62,0,270.14,0,2.38,0.06,Inf,Inf,Inf,0,Inf
"Boulder Creek","2019","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,0,365
"Boulder Creek","2020","mean",4.43,0.19,9.18,1.69,963.95,86.9,2,0.05,352.93,3.72,103.85,0.18,NA,NA,NA,44.99,NA
"Boulder Creek","2020","max",21.26,13.52,32,28,987.41,100,15.85,1.22,89.48,12.08,346.75,0.24,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2020","min",-30.66,-33.61,-24.88,0,941.58,31.63,-32.77,0,270.33,0,2.54,0.08,Inf,Inf,Inf,0,Inf
"Boulder Creek","2020","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,366,366,366,0,366
"Boulder Creek","2021","mean",4.27,-0.35,9.36,1.44,963.11,85.09,1.48,0.05,345.41,3.75,111.06,0.16,NA,NA,NA,42.77,NA
"Boulder Creek","2021","max",26.02,16.13,37.21,23.8,989.81,100,17.05,0.76,87.86,10.07,352.44,0.22,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2021","min",-32.86,-35.62,-29.06,0,933.26,48.11,-34.98,0,270.61,0,0.82,0.05,Inf,Inf,Inf,3.26,Inf
"Boulder Creek","2021","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,0,365
"Boulder Creek","2022","mean",4.33,-0.48,9.66,1.66,965.62,84.64,1.5,0.05,345.98,3.75,110.85,0.16,NA,NA,NA,43.74,NA
"Boulder Creek","2022","max",22.09,16.61,31.97,24,998.02,100,16.86,0.76,89.75,10.57,328.84,0.25,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2022","min",-31.48,-35.1,-27.27,0,937.91,37.07,-33.84,0,275.94,0,1.13,0.04,Inf,Inf,Inf,2.13,Inf
"Boulder Creek","2022","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,0,365
"Boulder Creek","2023","mean",7.68,1.73,14.18,1.06,963.57,77.82,3.26,0.05,355.98,3.95,142.77,0.1,NA,NA,NA,36.66,NA
"Boulder Creek","2023","max",24.26,16.87,33.03,14,986.33,100,16.02,0.67,88.82,10.57,325.98,0.22,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2023","min",-17.36,-23.73,-12.2,0,944.86,49.17,-22.12,0,274.69,0,3.84,0.02,Inf,Inf,Inf,3.46,Inf
"Boulder Creek","2023","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,264,264,264,0,264
"Bowron Pit","2018","mean",0.91,Inf,-Inf,1.8,932.39,86.43,-1.47,0.2,333.52,-Inf,50.76,0.17,NA,NA,NA,NA,NA
"Bowron Pit","2018","max",10.12,Inf,19.89,32,948.59,99.96,8.03,1.82,89.95,15.1,208.53,0.26,-Inf,-Inf,-Inf,-Inf,-Inf
"Bowron Pit","2018","min",-13.05,-17.99,-Inf,0,908.72,56.57,-14.31,0,271.08,-Inf,3.89,0.09,Inf,Inf,Inf,Inf,Inf
"Bowron Pit","2018","obs_na",14,0,0,14,14,14,14,14,14,0,14,14,124,124,124,124,124
"Bowron Pit","2019","mean",3.25,-2.95,9.47,1.85,932.09,81.34,-0.29,0.21,345.13,4.87,114.88,0.2,NA,NA,NA,NA,10.46
"Bowron Pit","2019","max",19.72,13.11,28.74,28,950.39,99.96,14.78,1.49,89.48,15.6,328.06,0.27,-Inf,-Inf,-Inf,-Inf,32.13
"Bowron Pit","2019","min",-30.53,-39.22,-19.61,0,907.13,44.14,-33.08,0,270.97,0,2.95,0.11,Inf,Inf,Inf,Inf,0
"Bowron Pit","2019","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,304
"Bowron Pit","2020","mean",3.92,-1.67,9.25,2.27,930.93,82.53,0.73,0.27,347.16,5.54,110.06,0.25,NA,NA,NA,NA,19.02
"Bowron Pit","2020","max",20.93,13.11,32.25,28.4,950.33,99.86,15.08,1.89,86.93,18.12,326.3,0.4,-Inf,-Inf,-Inf,-Inf,74.06
"Bowron Pit","2020","min",-37.86,-45.01,-26.49,0,908.08,47.25,-40.67,0,270.5,0.5,2.17,0.18,Inf,Inf,Inf,Inf,0
"Bowron Pit","2020","obs_na",0,0,0,0,0,0,0,0,207,0,0,0,366,366,366,366,0
"Bowron Pit","2021","mean",3.97,-2.1,9.82,1.44,930.24,78.09,-0.23,0.34,348.52,5.58,117.82,0.19,NA,NA,NA,NA,7.91
"Bowron Pit","2021","max",27.8,18.06,38.53,27.6,953.58,99.69,17.44,2.39,88.45,15.1,359.37,0.28,-Inf,-Inf,-Inf,-Inf,57.87
"Bowron Pit","2021","min",-38.38,-43.81,-28.92,0,903.3,42.04,-41.18,0,270.43,0.5,2.54,0.09,Inf,Inf,Inf,Inf,0
"Bowron Pit","2021","obs_na",0,0,0,0,0,0,0,0,147,0,0,0,365,365,365,365,0
"Bowron Pit","2022","mean",3.66,-2.33,9.68,1.48,932.28,80,-0.05,0.29,346.63,5.16,117.72,0.2,NA,NA,NA,NA,11.33
"Bowron Pit","2022","max",22.14,14.19,31.94,26.4,963.18,99.78,15.64,2.45,89.95,17.61,347.96,0.27,-Inf,-Inf,-Inf,-Inf,63.56
"Bowron Pit","2022","min",-38.63,-43.68,-30.2,0,902.5,40.02,-41.69,0,270.48,1.01,2.27,0.13,Inf,Inf,Inf,Inf,0
"Bowron Pit","2022","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,0
"Bowron Pit","2023","mean",-5.71,-11,-2.39,0,925.82,96.69,-6.16,0,333.1,2.35,12.55,0.15,NA,NA,NA,NA,26.91
"Bowron Pit","2023","max",-3.11,-6.87,-0.51,0,930.45,98.57,-3.31,0,339.05,3.02,16.34,0.15,-Inf,-Inf,-Inf,-Inf,27.06
"Bowron Pit","2023","min",-8.99,-13.16,-5.29,0,923.07,94.88,-9.67,0,326.28,2.01,7.8,0.14,Inf,Inf,Inf,Inf,26.83
"Bowron Pit","2023","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0
"Bulkley","2007","mean",3.29,-1.89,8.69,1.54,944,84.28,0.44,0.29,1.16,3.31,135.14,NA,NA,NA,NA,NA,NA
"Bulkley","2007","max",18.14,12.55,30.71,21.8,964.16,99.59,13.38,1.38,88.96,7.61,267.39,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Bulkley","2007","min",-27.16,-32.48,-21.79,0,917.32,52.98,-29.43,0,272.65,0,39.62,Inf,Inf,Inf,Inf,Inf,Inf
"Bulkley","2007","obs_na",0,0,0,0,0,0,0,0,0,0,96,153,153,153,153,153,153
"Bulkley","2008","mean",3.6,-2.38,9.79,1.46,944.28,79.36,-0.38,0.29,1.75,3.54,115.25,NA,NA,NA,NA,36.23,NA
"Bulkley","2008","max",22.46,13.32,33.17,27.6,963.22,100,15.61,1.51,89.78,9.83,302.91,-Inf,-Inf,-Inf,-Inf,95.62,-Inf
"Bulkley","2008","min",-30.72,-36.46,-25.18,0,907.59,31.69,-34.03,0,270.78,0,2.95,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","2008","obs_na",0,0,0,0,0,0,0,0,0,0,64,366,366,366,366,164,366
"Bulkley","2009","mean",4.76,-1.6,11.17,0.93,945.31,80.62,0.74,0.27,9.55,3.24,97.84,NA,NA,NA,NA,34.19,NA
"Bulkley","2009","max",22.58,12.16,34.43,16.4,968.85,100,14.62,1.35,89,7.24,304.84,-Inf,-Inf,-Inf,-Inf,99.78,-Inf
"Bulkley","2009","min",-33.59,-37.96,-27.06,0,920.41,43.29,-36.33,0,270.77,0,3.21,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","2009","obs_na",0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,0,240
"Bulkley","2010","mean",5.04,-1.11,11.23,0.92,942.56,77.81,0.37,0.36,10.41,3.7,98.65,NA,NA,NA,NA,30.95,NA
"Bulkley","2010","max",20.68,14.47,32.76,19,965.28,100,14.36,1.34,89.73,8.91,322.6,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2010","min",-27.49,-32.48,-19.49,0,912.8,39.25,-29.6,0,271.22,0,4.62,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","2010","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,0,365
"Bulkley","2011","mean",3.66,-1.91,9.31,1.42,942.93,81.96,0.2,0.35,0.14,3.74,88.45,NA,NA,NA,NA,31.33,NA
"Bulkley","2011","max",17.63,13.7,27.12,22,965.43,100,15.23,1.61,88.26,8.35,309.93,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2011","min",-25.53,-35.05,-19.49,0,918.23,46.27,-28.21,0,270.82,0,4.31,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","2011","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,0,365
"Bulkley","2012","mean",4.22,-1.75,10.31,0.9,942.67,79.67,-0.34,0.32,5.55,3.47,89.4,NA,NA,NA,NA,27.94,NA
"Bulkley","2012","max",20.74,14.09,32.34,16,962.28,100,14.8,1.38,89.8,8.53,303.8,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2012","min",-31.53,-36.46,-26.1,0,918.08,32.17,-34.72,0,270.31,0,2.17,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","2012","obs_na",0,0,0,0,0,0,0,0,0,0,0,366,366,366,366,0,366
"Bulkley","2013","mean",5.08,Inf,-Inf,1.33,945.54,83.88,-1.31,0.29,1.23,3.26,82.85,NA,NA,NA,NA,31.25,NA
"Bulkley","2013","max",26.94,Inf,33.17,20.2,963.3,100,14.2,1.51,88.91,7.42,309.28,-Inf,-Inf,-Inf,-Inf,90.12,-Inf
"Bulkley","2013","min",-24.55,-29.08,-Inf,0,919.27,28.25,-26.36,0,270.9,0,1.75,Inf,Inf,Inf,Inf,0.2,Inf
"Bulkley","2013","obs_na",7,0,0,0,0,71,71,0,0,0,8,365,365,365,365,9,365
"Bulkley","2014","mean",4.89,-1.51,11.16,0.95,944.56,74.93,-0.04,0.29,355.01,3.08,78.66,NA,NA,NA,NA,31.4,NA
"Bulkley","2014","max",22.07,15.8,35.42,14.8,968.77,97.07,13.57,1.31,89.97,7.61,243.89,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2014","min",-28.41,-32.91,-21.37,0,915.95,38.67,-30.64,0,270.5,0,3.1,Inf,Inf,Inf,Inf,0.1,Inf
"Bulkley","2014","obs_na",0,0,0,0,0,0,0,0,0,0,0,356,356,356,356,0,356
"Bulkley","2015","mean",8.31,1.89,14.75,1.17,943.71,77.42,3.78,0.23,4.23,3.19,87.19,NA,NA,NA,NA,39.15,NA
"Bulkley","2015","max",23.37,13.19,33.31,17.2,964.65,97.41,14.65,1.25,88.56,7.79,263.68,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2015","min",-15.05,-19.75,-10.93,0,924.27,43.05,-16.81,0,271.2,0,2.06,Inf,Inf,Inf,Inf,1.42,Inf
"Bulkley","2015","obs_na",0,0,0,0,0,0,0,0,0,0,0,254,254,254,254,0,254
"Bulkley","2016","mean",5.49,-0.05,11.27,1.34,943.91,80.62,1.82,0.22,357.12,3.11,67.71,NA,NA,NA,NA,44.91,NA
"Bulkley","2016","max",19.93,15.51,28.94,20.81,967.38,97.48,14.05,1.15,89.6,7.61,261.71,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2016","min",-26.46,-30.48,-20.17,0,919.08,45.3,-28.74,0,271.32,0,3.05,Inf,Inf,Inf,Inf,2.11,Inf
"Bulkley","2016","obs_na",0,0,0,0,0,0,0,0,0,0,0,366,366,366,366,0,366
"Bulkley","2017","mean",4.17,-1.91,10.22,0.96,944.49,76.74,-0.19,0.31,346.71,3.51,64.55,NA,NA,NA,NA,32.14,NA
"Bulkley","2017","max",20.9,12.75,34.52,13.6,969.24,96.97,13.93,1.38,89.92,7.98,237.85,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2017","min",-26.65,-32.29,-20.93,0,916.12,48.8,-28.95,0,270.07,0,3.21,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","2017","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,0,365
"Bulkley","2018","mean",4.42,-1.87,10.55,0.83,945.28,76.82,0.04,0.27,350.77,3.22,66.3,NA,NA,NA,NA,33.32,NA
"Bulkley","2018","max",23.04,14.41,34.33,21,963.73,96.93,14.88,1.04,89.98,7.24,226.66,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2018","min",-24.96,-32.22,-19.98,0,921.39,50.77,-27.31,0,271.38,0,2.28,Inf,Inf,Inf,Inf,0.61,Inf
"Bulkley","2018","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,0,365
"Bulkley","2019","mean",4.04,-1.9,9.93,0.99,945.29,78.86,0.14,0.28,345.94,3.22,63.89,NA,NA,NA,NA,41.04,NA
"Bulkley","2019","max",19.84,12.97,29.11,18.2,964.05,97.17,14.73,1.49,89.8,7.42,215.73,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2019","min",-28.12,-35.79,-20.07,0,920.33,39.69,-30.65,0,270.13,0,1.59,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","2019","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,0,365
"Bulkley","2020","mean",4.54,-0.82,9.72,1.29,944.27,79.6,0.86,0.32,353.85,3.46,59.33,NA,NA,NA,NA,36.84,NA
"Bulkley","2020","max",20.41,13.5,30.62,17.6,964.04,97.13,15.53,1.56,89.38,7.98,214.99,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2020","min",-36.24,-43.56,-27.9,0,921.37,40.01,-39.08,0,271.02,0,1.28,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","2020","obs_na",0,0,0,0,0,0,0,0,0,0,0,366,366,366,366,0,366
"Bulkley","2021","mean",4.57,-1.35,10.51,1.14,943.44,76.7,0.2,0.35,355.65,3.53,62.21,NA,NA,NA,NA,25.13,NA
"Bulkley","2021","max",27.88,16.11,39.66,21,965.9,96.47,17.92,1.67,89.44,8.16,219.95,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2021","min",-34.06,-41.39,-25.61,0,916.73,42.26,-36.95,0,271.43,0,1.86,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","2021","obs_na",0,0,0,129,0,0,0,0,0,0,0,365,365,365,365,0,365
"Bulkley","2022","mean",4.23,-1.59,10.33,0.85,945.69,77.64,0.14,0.34,355.16,3.39,59.68,NA,NA,NA,NA,30.84,NA
"Bulkley","2022","max",22.25,15.13,33.31,22.6,976.04,96.5,15.53,1.77,89.89,10.02,212.91,-Inf,-Inf,-Inf,-Inf,98.92,-Inf
"Bulkley","2022","min",-38.32,-42.32,-32.29,0,915.89,40.57,-41.44,0,271.5,0.19,2.17,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","2022","obs_na",0,0,0,47,0,0,0,0,0,0,0,365,365,365,365,0,365
"Bulkley","2023","mean",7.61,0.84,14.54,0.95,943.29,74.65,2.58,0.31,354.55,3.24,66.62,NA,NA,NA,NA,30.48,NA
"Bulkley","2023","max",21.8,13.21,33.16,16.4,965.85,96.97,14.3,1.26,89.44,6.49,181.87,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","2023","min",-23.72,-32.83,-15.47,0,924.24,51.15,-26.51,0,270.01,0.74,4.15,Inf,Inf,Inf,Inf,1.83,Inf
"Bulkley","2023","obs_na",0,0,0,0,0,0,0,0,0,0,0,289,289,289,289,0,289
"Canoe","2012","mean",1.13,-1.42,3.91,1.47,777.8,78.66,-2.64,4.31,351.06,10.97,168.32,NA,NA,NA,NA,NA,NA
"Canoe","2012","max",16.87,13.93,20.82,47.6,789.03,96.42,9.05,14.29,87.56,28.2,381.81,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2012","min",-18.08,-19.52,-15.91,0,755.18,37.74,-19.92,0,271.72,0,10.61,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2012","obs_na",0,0,0,0,1,0,0,0,0,0,0,261,261,261,261,261,261
"Canoe","2014","mean",-0.62,-3.12,2.03,1.22,777.61,81.73,-3.72,4,NA,9.99,101.37,NA,NA,NA,NA,NA,NA
"Canoe","2014","max",17.52,13.98,21.68,22.8,790.63,97.13,9.91,13.45,-Inf,24.43,429.26,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2014","min",-26.12,-30.97,-20.26,0,758.35,30.98,-28.37,0,Inf,0,5.5,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2014","obs_na",0,0,0,0,0,0,0,0,154,0,0,154,154,154,154,154,154
"Canoe","2015","mean",-0.81,-3.44,1.95,0.54,774.2,79.26,-4.47,4.12,344.68,10.67,144.31,NA,NA,NA,NA,NA,NA
"Canoe","2015","max",18.12,14.27,22.42,21.6,786.48,96.95,7.16,13.86,83.87,31.23,394.84,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2015","min",-21.49,-24.43,-16.33,0,753.13,17.13,-23.51,0,272.36,0,10.25,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2015","obs_na",0,0,0,139,140,0,0,0,246,0,0,365,365,365,365,365,365
"Canoe","2016","mean",-1.34,-3.66,1.19,1.04,774.44,83.49,-4.11,3.71,338.35,9.88,136.5,NA,NA,NA,NA,NA,NA
"Canoe","2016","max",14.39,11.54,18.01,23,789.08,96.72,6.83,16.38,88.62,26.94,400.46,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2016","min",-24.31,-26.85,-21.97,0,752.46,15,-26.52,0,274.49,0,7.69,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2016","obs_na",0,0,0,0,0,0,0,0,2,0,0,366,366,366,366,366,366
"Canoe","2017","mean",-4.46,-6.98,-1.82,0.55,773.02,83.01,-7.32,4.07,345.17,-Inf,132.11,NA,NA,NA,NA,NA,NA
"Canoe","2017","max",16.34,10.49,20.82,31.01,793.62,99.95,5.79,14.93,89.57,35.51,415.92,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2017","min",-25.14,-27.4,-23.89,0,752.52,33.56,-28.91,0,273.45,-Inf,8.21,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2017","obs_na",0,0,0,0,0,0,0,48,0,0,0,303,303,303,303,303,303
"Canoe","2018","mean",-2.04,-4.72,0.8,0.65,776.28,81.81,-5.32,5.15,351.22,-Inf,130.61,NA,NA,NA,NA,NA,NA
"Canoe","2018","max",17.81,14.03,22.37,16,789.98,99.98,5.77,17.47,86.8,30.99,381.82,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2018","min",-24.25,-26.31,-21.62,0,757.18,29.87,-26.22,0,270.09,-Inf,7.33,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2018","obs_na",0,0,0,0,0,0,0,204,0,0,0,365,365,365,365,365,365
"Canoe","2019","mean",-2.61,-5.15,0.05,1.16,775.8,83.56,-5.45,4.94,356.06,11.77,130.59,NA,NA,NA,NA,NA,NA
"Canoe","2019","max",14.2,11.15,19.08,29,788.76,100,7.16,15.84,89.84,29.23,378.32,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2019","min",-30.22,-32.67,-26.91,0,753.13,26.82,-33.37,0,271.94,0,3.58,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2019","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,365,365
"Canoe","2020","mean",-2.8,-5.4,-0.02,0.96,775.23,85.79,-5.18,5.63,350.29,12.81,129.51,NA,NA,NA,NA,NA,NA
"Canoe","2020","max",18.48,13.95,22.99,34.2,791.95,100,7.88,17.13,88.5,49.31,393.69,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2020","min",-32.57,-35.97,-25.56,0,752.67,35.88,-34.88,0,270.37,0,6.65,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2020","obs_na",0,0,0,0,0,0,0,0,0,0,0,366,366,366,366,366,366
"Canoe","2021","mean",-2.58,-5.22,0.18,0.73,774.85,83.88,-5.46,6.19,350.74,13.74,134.89,NA,NA,NA,NA,NA,NA
"Canoe","2021","max",24.55,20.79,28.94,16.2,791.35,100,10.84,15.53,87.92,29.04,390.57,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2021","min",-32.41,-34.84,-30.41,0,748.41,28.77,-34.7,0,270.96,0.19,6.7,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2021","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,365,365
"Canoe","2022","mean",-2.06,-4.87,0.87,0.7,776.38,81.98,-5.24,5.85,347.5,13.37,140.56,NA,NA,NA,NA,NA,NA
"Canoe","2022","max",18.37,14.51,22.32,22,791.4,100,8.91,17.49,88.37,26.7,368.95,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2022","min",-31.09,-35.27,-27.83,0,750.01,21.48,-33.4,0,271.67,0,6.4,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2022","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,365,365
"Canoe","2023","mean",1.04,-1.75,4.06,0.77,777.2,77.76,-3.08,5.62,343.55,13.11,156.98,NA,NA,NA,NA,NA,NA
"Canoe","2023","max",16.71,12.24,20.86,23.4,793.25,100,7.72,15.69,82.72,31.77,381.35,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2023","min",-15.05,-17.64,-13.16,0,757.81,26.27,-17.45,0.05,270.14,1.75,9.25,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2023","obs_na",0,0,0,0,0,0,0,0,0,0,0,310,310,310,310,310,310
"Canoe","2024","mean",-7.2,-8.91,-5.96,0,773.94,90.83,-8.48,7.3,315.57,12.91,29,NA,NA,NA,NA,NA,NA
"Canoe","2024","max",-5.81,-6.42,-5.48,0,777.77,95.66,-6.54,8.58,328.17,14.42,44.73,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","2024","min",-7.99,-11.54,-6.32,0,770.36,83.11,-10.42,6.08,287.05,11.5,19.57,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","2024","obs_na",0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
"Caribou Pass","2023","mean",-0.28,Inf,-Inf,0.51,809.02,83.64,-3.12,6.88,353.52,16.11,69.52,NA,NA,NA,NA,NA,NA
"Caribou Pass","2023","max",16.46,Inf,21.44,10,825.77,99.02,7.19,14.9,88.5,36.25,345.43,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Caribou Pass","2023","min",-18.63,-21.42,-Inf,0,788.58,29.64,-20.25,0.01,271.82,0.39,7.32,Inf,Inf,Inf,Inf,Inf,Inf
"Caribou Pass","2023","obs_na",17,0,0,0,0,17,17,0,0,0,0,150,150,150,150,150,150
"Caribou Pass","2024","mean",NA,Inf,-Inf,0,806,NA,NA,1.15,10.51,3.9,11.23,NA,NA,NA,NA,NA,NA
"Caribou Pass","2024","max",-Inf,Inf,-Inf,0,811.35,-Inf,-Inf,2.84,77.22,6.43,23.1,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Caribou Pass","2024","min",Inf,Inf,-Inf,0,798.27,Inf,Inf,0.1,284.06,1.36,3.26,Inf,Inf,Inf,Inf,Inf,Inf
"Caribou Pass","2024","obs_na",4,0,0,0,0,4,4,0,0,0,0,4,4,4,4,4,4
"Cassiar Mt","2016","mean",-3.33,-5.34,-0.98,1.23,831.9,87.89,-5.2,0.42,353.95,4.76,61.5,NA,NA,NA,NA,NA,NA
"Cassiar Mt","2016","max",18.05,14.94,19.75,34.6,852.73,99.54,9,3.19,87.98,18.55,338.24,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Cassiar Mt","2016","min",-29.52,-30.9,-27.83,0,811.01,50.08,-31.53,0,272.32,0,5.08,Inf,Inf,Inf,Inf,Inf,Inf
"Cassiar Mt","2016","obs_na",0,0,0,0,0,0,0,0,0,0,0,147,147,147,147,147,147
"Cassiar Mt","2017","mean",-2.4,-5.09,0.63,1.01,832.53,82.47,-5.22,0.52,357.14,6.44,115.83,NA,NA,NA,NA,NA,NA
"Cassiar Mt","2017","max",19.31,14.43,23.88,21.2,851.12,99.63,9.89,7.11,88.79,28.57,357.65,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Cassiar Mt","2017","min",-29.89,-32.07,-26.73,0,803.25,38.13,-32.21,0,271.13,0,4.57,Inf,Inf,Inf,Inf,Inf,Inf
"Cassiar Mt","2017","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,365,365
"Cassiar Mt","2018","mean",-1.7,-4.71,1.63,0.7,834.32,79.09,-5.2,0.61,4.91,6.76,159.05,NA,NA,NA,NA,NA,NA
"Cassiar Mt","2018","max",19.44,15.46,24.1,17.4,851.88,99.7,11.81,3.59,89.9,20.22,375.05,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Cassiar Mt","2018","min",-29.82,-32.91,-26.43,0,814.17,37.35,-31.83,0,272.95,0,6.28,Inf,Inf,Inf,Inf,Inf,Inf
"Cassiar Mt","2018","obs_na",0,0,0,0,0,0,0,0,0,0,0,231,231,231,231,231,231
"Central Plateau Finlay","2007","mean",2.67,-1.84,7.65,1.57,944.45,84.2,-0.09,0.35,347.69,3.81,61.12,NA,NA,NA,NA,NA,NA
"Central Plateau Finlay","2007","max",16.71,11.38,31.52,21.8,964.74,98.88,12.86,1.55,87.09,10.95,275.41,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Central Plateau Finlay","2007","min",-27.06,-31.29,-22.6,0,917.85,56.08,-29.36,0,270.02,0,4.2,Inf,Inf,Inf,Inf,Inf,Inf
"Central Plateau Finlay","2007","obs_na",0,0,0,0,0,0,0,0,0,0,0,144,144,144,144,144,144
"Central Plateau Finlay","2008","mean",3.66,-1.91,9.83,1.59,944.85,78.54,-0.42,0.32,355.02,4.18,110.92,NA,NA,NA,NA,37.23,NA
"Central Plateau Finlay","2008","max",22.32,14.09,33.59,26.6,963.61,100,15.83,1.47,89.72,10.2,345.05,-Inf,-Inf,-Inf,-Inf,96.45,-Inf
"Central Plateau Finlay","2008","min",-30.59,-36.46,-25.18,0,908.36,26.88,-33.7,0,270.84,0,3.05,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","2008","obs_na",0,0,0,0,0,0,0,0,0,0,0,366,366,366,366,163,366
"Central Plateau Finlay","2009","mean",3.39,-2.73,9.85,1.29,945.29,76.2,-1.45,0.31,354.71,3.8,112.78,NA,NA,NA,NA,32.23,NA
"Central Plateau Finlay","2009","max",22.58,13.7,34.43,20.4,968.95,100,14.54,1.69,89.85,11.69,356.45,-Inf,-Inf,-Inf,-Inf,98.75,-Inf
"Central Plateau Finlay","2009","min",-33.29,-37.96,-28.05,0,920.61,31.58,-36.52,0,270.14,0,3.47,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","2009","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,0,365
