"Site","years","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Boulder Creek","2017","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,0,28
"Boulder Creek","2017","Mar","mean",-0.89,-5.01,3.94,0.51,959.27,74.35,-5.28,0.66,28.82,5.97,90.31,NA,NA,NA,NA,22.95,NA
"Boulder Creek","2017","Mar","max",5.61,1.02,12.24,3.4,976.13,93.68,2.12,1.65,89.42,10.39,165.93,-Inf,-Inf,-Inf,-Inf,69.31,-Inf
"Boulder Creek","2017","Mar","min",-9.04,-11.65,-7.06,0,948.56,52.48,-17.02,0.16,271.42,2.97,36.81,Inf,Inf,Inf,Inf,0,Inf
"Boulder Creek","2017","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0,31,31,31,31,0,31
"Boulder Creek","2017","Apr","mean",5.67,-0.42,12.24,0.63,961.72,70.49,-0.06,0.64,343.47,5.73,156.17,NA,NA,NA,NA,30.26,NA
"Boulder Creek","2017","Apr","max",8.59,4.74,16.49,6.6,974.25,89.86,3.78,1.46,89.33,12.06,253.22,-Inf,-Inf,-Inf,-Inf,69.19,-Inf
"Boulder Creek","2017","Apr","min",2.46,-4.59,6.46,0,944.11,50.75,-3.64,0.22,271.72,3.15,86.14,Inf,Inf,Inf,Inf,0.59,Inf
"Boulder Creek","2017","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,0,30
"Boulder Creek","2017","May","mean",10.22,3.84,16.85,2.81,963.77,74.2,4.83,0.47,357.47,4.75,198.27,0.05,NA,NA,NA,40.85,NA
"Boulder Creek","2017","May","max",18.3,9.51,28.72,21.4,971.95,98.93,10.33,1.04,87.39,7.42,330.88,0.05,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2017","May","min",3.56,-3.3,5.31,0,954.35,51.77,0.21,0.13,282.72,2.04,36.96,0.04,Inf,Inf,Inf,2.35,Inf
"Boulder Creek","2017","May","obs_na",0,0,0,0,0,0,0,0,0,0,0,24,31,31,31,0,31
"Boulder Creek","2017","Jun","mean",12.82,6.16,19.29,2.02,963.78,72.15,7.16,0.5,351.32,4.81,237.45,0.05,NA,NA,NA,30.7,NA
"Boulder Creek","2017","Jun","max",19.13,13.21,29.19,24.4,976.83,98.03,12.03,0.84,47.61,6.86,340.99,0.08,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2017","Jun","min",7.46,-1.16,11.08,0,948.71,56.32,1.95,0.21,272.61,2.78,72.28,0.04,Inf,Inf,Inf,2.33,Inf
"Boulder Creek","2017","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2017","Jul","mean",13.99,7.38,20.76,1.01,967.47,77.7,9.61,0.33,352.94,4.26,189.32,0.03,NA,NA,NA,37.67,NA
"Boulder Creek","2017","Jul","max",18.43,12.78,30.14,9.6,978.95,89.4,13.75,0.45,87.92,7.79,337.18,0.05,-Inf,-Inf,-Inf,74.61,-Inf
"Boulder Creek","2017","Jul","min",10.72,1.29,15.65,0,963.62,60.72,5.33,0.16,288.8,2.6,0.6,0.01,Inf,Inf,Inf,3.63,Inf
"Boulder Creek","2017","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,25,0,31,31,31,0,31
"Boulder Creek","2017","Aug","mean",15.25,8.62,22.68,1.05,965.6,80.55,11.19,0.33,343.72,3.6,NA,0,NA,NA,NA,45.93,NA
"Boulder Creek","2017","Aug","max",20.54,11.98,32.2,7.8,977.5,99.16,15.26,0.57,77.57,6.86,-Inf,0,-Inf,-Inf,-Inf,92.94,-Inf
"Boulder Creek","2017","Aug","min",9.92,3.83,12.73,0,955.69,59.5,7.4,0.11,281.08,1.86,Inf,0,Inf,Inf,Inf,17.08,Inf
"Boulder Creek","2017","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,31,28,31,31,31,0,31
"Boulder Creek","2017","Sep","mean",10.46,5.53,16.98,2.65,964.71,90.8,8.78,0.26,333.32,3.31,59.33,0.02,NA,NA,NA,65.69,NA
"Boulder Creek","2017","Sep","max",16.47,11.44,29.66,34,973.56,99.5,12.93,0.5,87.87,5.38,135.41,0.04,-Inf,-Inf,-Inf,96.25,-Inf
"Boulder Creek","2017","Sep","min",6.03,-1.41,10.27,0,951.59,77.05,3.9,0.02,271.45,1.48,7.64,0.01,Inf,Inf,Inf,45.15,Inf
"Boulder Creek","2017","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,27,9,30,30,30,0,30
"Boulder Creek","2017","Oct","mean",2.93,-0.48,7.93,4.49,964.94,94.83,2.06,0.3,340.85,3.43,60.78,0.02,NA,NA,NA,77.4,NA
"Boulder Creek","2017","Oct","max",7.17,4.3,15.61,49.6,981.71,100,6.05,0.87,88.45,6.49,145.66,0.06,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2017","Oct","min",-1.4,-4.14,0.69,0,936.43,84.86,-1.45,0.04,271.43,1.67,2.07,0.01,Inf,Inf,Inf,52.77,Inf
"Boulder Creek","2017","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2017","Nov","mean",-3.08,-5.62,-0.77,0.83,959.15,93.28,-4.1,0.16,21.87,2.47,20.36,0.01,NA,NA,NA,48.87,NA
"Boulder Creek","2017","Nov","max",1.54,-0.54,5.41,7,978.73,100,0.22,0.73,89.21,7.24,66.02,0.02,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2017","Nov","min",-9.79,-14.28,-5.26,0,939.02,66.15,-11.55,0,270.79,0,1.6,0,Inf,Inf,Inf,1.45,Inf
"Boulder Creek","2017","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2017","Dec","mean",-8.92,-12.04,-6.29,0.32,975.82,94.84,-9.59,0.03,45.28,0.53,9.71,0.01,NA,NA,NA,67.75,NA
"Boulder Creek","2017","Dec","max",0.35,-0.7,1.34,7.6,989.17,100,0.28,0.44,83.41,5.01,21.49,0.02,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2017","Dec","min",-23.15,-25.73,-18.74,0,955.64,81.7,-24.57,0,276.3,0,4.05,0,Inf,Inf,Inf,8.19,Inf
"Boulder Creek","2017","Dec","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2018","Jan","mean",-4.91,-7.41,-2.53,0.48,962.59,94.15,-5.72,0.05,8,1.44,15.23,0,NA,NA,NA,47.97,NA
"Boulder Creek","2018","Jan","max",0.1,-0.68,2.1,3,980.87,100,-0.04,0.33,86.93,5.94,39.05,0.01,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2018","Jan","min",-17.07,-20.45,-15.38,0,944.78,77.87,-19.85,0,271.67,0,4.47,0,Inf,Inf,Inf,0.66,Inf
"Boulder Creek","2018","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2018","Feb","mean",-9.65,-14.59,-3.89,0.53,968.87,88.57,-11.26,0.42,15.89,3.98,51.51,0.01,NA,NA,NA,24.79,NA
"Boulder Creek","2018","Feb","max",-0.45,-4.02,4.17,11.8,985.52,96.97,-2.49,1.13,89.96,9.83,101.18,0.01,-Inf,-Inf,-Inf,59.12,-Inf
"Boulder Creek","2018","Feb","min",-21.36,-27.96,-10.69,0,948.74,82.26,-23.42,0.09,275.42,1.67,3.37,0.01,Inf,Inf,Inf,2.67,Inf
"Boulder Creek","2018","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,0,28
"Boulder Creek","2018","Mar","mean",-1.05,-6.06,4.65,0.81,964.12,81.16,-4.18,0.56,358.62,4.75,100.06,0.02,NA,NA,NA,31.84,NA
"Boulder Creek","2018","Mar","max",3.12,-0.06,11.86,7,976.54,99.36,0.8,1.25,89.04,9.28,219.72,0.04,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2018","Mar","min",-11.12,-20.12,-3.18,0,950.69,67.58,-15.29,0.19,270.08,2.6,23.64,0.01,Inf,Inf,Inf,0.12,Inf
"Boulder Creek","2018","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2018","Apr","mean",3.75,-2.26,10.38,0.5,963.78,70.12,-1.94,0.73,6.62,5.7,156.89,0.03,NA,NA,NA,20.83,NA
"Boulder Creek","2018","Apr","max",11.25,1.18,24.07,4.2,976.97,84.55,2.22,1.89,89.5,9.83,274.41,0.05,-Inf,-Inf,-Inf,54.24,-Inf
"Boulder Creek","2018","Apr","min",-2.96,-9.88,0.55,0,951.33,48.65,-10.75,0.36,270.14,3.15,48.9,0.02,Inf,Inf,Inf,0,Inf
"Boulder Creek","2018","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2018","May","mean",11.51,3.28,19.41,0.57,966,69.24,5.06,0.51,347.82,5.05,224.73,0.01,NA,NA,NA,27.54,NA
"Boulder Creek","2018","May","max",16.03,7.97,28.05,6.8,974.76,91.52,10.2,0.79,89.5,6.86,319.05,0.02,-Inf,-Inf,-Inf,83.04,-Inf
"Boulder Creek","2018","May","min",6.72,-1.33,11.39,0,959.76,50.81,0.18,0.12,273.01,2.6,72.17,0,Inf,Inf,Inf,1.27,Inf
"Boulder Creek","2018","May","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2018","Jun","mean",13.26,6.83,19.81,1.25,963.53,73.31,7.88,0.43,339.52,5.01,228.54,0.11,NA,NA,NA,29.15,NA
"Boulder Creek","2018","Jun","max",21.75,13.23,31.92,8.6,970.45,89.78,14.78,0.81,32.64,8.53,357.23,0.15,-Inf,-Inf,-Inf,66.64,-Inf
"Boulder Creek","2018","Jun","min",7.89,0.69,12.27,0,957.37,50.94,3.62,0.15,273.3,2.6,134.88,0,Inf,Inf,Inf,0.54,Inf
"Boulder Creek","2018","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2018","Jul","mean",17.07,9.07,24.9,0.62,969.4,69.26,10.45,0.46,341.96,4.76,240.21,0.07,NA,NA,NA,21.95,NA
"Boulder Creek","2018","Jul","max",23.98,14.77,35.85,5.8,975.89,93.62,13.31,0.81,73.81,7.98,343.27,0.1,-Inf,-Inf,-Inf,64.95,-Inf
"Boulder Creek","2018","Jul","min",11.78,3.48,16.56,0,963.5,53.95,6.76,0.2,270.03,2.97,101.04,0.06,Inf,Inf,Inf,0.76,Inf
"Boulder Creek","2018","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2018","Aug","mean",16.25,7.9,24.62,0.06,965.68,63.7,8.32,0.49,342.19,4.85,197.75,0.05,NA,NA,NA,18.92,NA
"Boulder Creek","2018","Aug","max",21.61,13.02,30.93,1,976.12,84.52,11.69,0.79,89.15,7.79,273.21,0.06,-Inf,-Inf,-Inf,55.22,-Inf
"Boulder Creek","2018","Aug","min",11.84,1.89,16.39,0,959.49,46.61,3.58,0.21,281.55,2.04,65.14,0.04,Inf,Inf,Inf,0.42,Inf
"Boulder Creek","2018","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2018","Sep","mean",8.32,3.15,14.54,1.19,967.74,81.91,4.94,0.29,348.16,3.98,111.97,0.09,NA,NA,NA,48.76,NA
"Boulder Creek","2018","Sep","max",13.73,10.35,21.8,7.8,975.14,98.73,11.6,0.94,86.75,8.16,240.67,0.11,-Inf,-Inf,-Inf,95.96,-Inf
"Boulder Creek","2018","Sep","min",2.44,-3.72,8.89,0,958.83,57.85,-4.98,0,271.65,0.74,33.63,0.04,Inf,Inf,Inf,4.24,Inf
"Boulder Creek","2018","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2018","Oct","mean",3.45,-1.09,9.49,1.41,966.82,88.81,1.5,0.29,8.73,3.61,66.37,0.13,NA,NA,NA,63.55,NA
"Boulder Creek","2018","Oct","max",7.88,4.43,15.05,12.6,979.77,99.75,6.47,0.76,87.58,7.05,139.41,0.22,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2018","Oct","min",-1.55,-7.9,5.44,0,952.9,64.84,-7.18,0.09,274.7,1.48,14.35,0.09,Inf,Inf,Inf,8.04,Inf
"Boulder Creek","2018","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2018","Nov","mean",1.52,-0.08,3.26,2.99,963.72,98.86,1.35,0.09,359.73,2.46,16.23,0.2,NA,NA,NA,85.53,NA
"Boulder Creek","2018","Nov","max",4.75,3.17,6.33,18.8,981.96,100,4.74,0.37,88.15,5.2,30.61,0.23,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2018","Nov","min",-1.65,-4.08,0.19,0,944.31,91.41,-1.76,0,272.42,0,4.78,0.19,Inf,Inf,Inf,25.69,Inf
"Boulder Creek","2018","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2018","Dec","mean",-3.37,-5.6,-1.6,0.36,961.75,95,-4.09,0.1,12.79,2.83,10.09,0.16,NA,NA,NA,72.04,NA
"Boulder Creek","2018","Dec","max",0.58,-1.07,2.58,7.6,980.07,100,0.12,0.47,89.26,6.68,19.93,0.19,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2018","Dec","min",-9.24,-12.82,-5.92,0,940.49,74.97,-9.63,0,270.91,0,1.65,0.15,Inf,Inf,Inf,0.07,Inf
"Boulder Creek","2018","Dec","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2019","Jan","mean",-2.56,-4.65,-0.36,1.37,962.72,97.11,-2.98,0.13,341.54,2.72,16.78,0.18,NA,NA,NA,73,NA
"Boulder Creek","2019","Jan","max",1.01,0.25,5.46,16.2,981.86,100,1,1,84.17,7.24,47.59,0.22,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2019","Jan","min",-11.7,-15.95,-7.25,0,941,77.76,-12.58,0,271.31,0,2.38,0.16,Inf,Inf,Inf,1.74,Inf
"Boulder Creek","2019","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2019","Feb","mean",-13.11,-19.94,-5.74,0.21,969.86,81.52,-15.79,0.26,48.01,3.68,64.59,0.16,NA,NA,NA,17.46,NA
"Boulder Creek","2019","Feb","max",-3.81,-7.09,2.82,2.2,983.55,94.42,-4.6,1.14,85.51,8.72,116.91,0.18,-Inf,-Inf,-Inf,59.27,-Inf
"Boulder Creek","2019","Feb","min",-26.16,-32.67,-15.1,0,948.67,64.01,-28.62,0.02,277.1,1.3,15.45,0.15,Inf,Inf,Inf,0,Inf
"Boulder Creek","2019","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,0,28
"Boulder Creek","2019","Mar","mean",-1.63,-8.5,7.59,0.1,970.05,76.1,-5.93,0.4,13.79,3.9,133.78,0.16,NA,NA,NA,35.22,NA
"Boulder Creek","2019","Mar","max",4.45,-0.87,16.84,1.8,986.11,96.27,1.1,0.75,81.65,7.42,207.39,0.22,-Inf,-Inf,-Inf,86.03,-Inf
"Boulder Creek","2019","Mar","min",-16.33,-24.77,-5.82,0,951.13,56.99,-21.46,0.16,273.42,2.23,46.6,0.12,Inf,Inf,Inf,0,Inf
"Boulder Creek","2019","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2019","Apr","mean",4.68,-1.62,11.96,1.17,963.28,72.78,-0.68,0.57,3.21,5.26,170.65,0.2,NA,NA,NA,39.02,NA
"Boulder Creek","2019","Apr","max",8.72,4.64,18.08,10,977.9,93.65,3.35,0.92,87.52,8.72,286.03,0.22,-Inf,-Inf,-Inf,84.31,-Inf
"Boulder Creek","2019","Apr","min",1.76,-4.83,6.33,0,946.21,52.44,-4.65,0.16,275.83,2.04,63.06,0.19,Inf,Inf,Inf,5.98,Inf
"Boulder Creek","2019","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2019","May","mean",13.01,4.97,20.93,0.72,963.67,63.67,5.16,0.61,342.3,5.31,229.28,0.17,NA,NA,NA,24.56,NA
"Boulder Creek","2019","May","max",17.68,11.47,29.16,8.6,976.21,90.25,9.85,1.22,66.12,8.53,330.82,0.18,-Inf,-Inf,-Inf,85.2,-Inf
"Boulder Creek","2019","May","min",8.73,-0.9,12.46,0,955,45.67,-1.68,0.29,276.06,3.15,56.66,0.16,Inf,Inf,Inf,0.93,Inf
"Boulder Creek","2019","May","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2019","Jun","mean",13.66,7.7,19.84,1.42,966.2,78.49,9.5,0.44,356.87,4.6,217.84,0.14,NA,NA,NA,37.54,NA
"Boulder Creek","2019","Jun","max",19.9,12.99,28.3,9,973.96,95.01,14.14,0.67,85.11,6.86,346.3,0.15,-Inf,-Inf,-Inf,76.96,-Inf
"Boulder Creek","2019","Jun","min",8.39,1.07,12.34,0,961.15,66.19,4.14,0.12,287.28,2.23,99,0.13,Inf,Inf,Inf,6.45,Inf
"Boulder Creek","2019","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2019","Jul","mean",15.55,10.53,21.62,2.27,965.16,84.14,12.49,0.36,334.5,4.64,181.89,0.16,NA,NA,NA,45.92,NA
"Boulder Creek","2019","Jul","max",21.6,14.67,30.17,24.6,972.1,96.78,14.55,0.78,86.53,8.16,307.86,0.19,-Inf,-Inf,-Inf,85.59,-Inf
"Boulder Creek","2019","Jul","min",12.15,6.13,14.34,0,950.98,65.89,9.72,0.16,273.48,2.23,83.58,0.12,Inf,Inf,Inf,4.19,Inf
"Boulder Creek","2019","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2019","Aug","mean",14.58,8.43,21.28,1.57,964.89,82.54,11.13,0.38,347.5,3.76,168.38,0.16,NA,NA,NA,46.31,NA
"Boulder Creek","2019","Aug","max",20.19,13.38,30.65,9.2,973,97.69,14.22,0.61,89.4,7.24,263.89,0.19,-Inf,-Inf,-Inf,78.28,-Inf
"Boulder Creek","2019","Aug","min",9.75,2.18,14.34,0,952.62,67.83,6.7,0.1,276.7,0.93,41.92,0.13,Inf,Inf,Inf,7.87,Inf
"Boulder Creek","2019","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2019","Sep","mean",10.11,5.45,15.87,1.37,964.3,90.34,8.4,0.29,344.51,3.1,98.09,0.19,NA,NA,NA,61.7,NA
"Boulder Creek","2019","Sep","max",15.49,11.71,23.62,9.2,976.69,98.57,13.17,0.46,86.46,5.01,188.9,0.2,-Inf,-Inf,-Inf,94.41,-Inf
"Boulder Creek","2019","Sep","min",1.22,-4.59,9.41,0,954.71,78.64,-1.92,0.14,274.42,1.67,31.86,0.17,Inf,Inf,Inf,26,Inf
"Boulder Creek","2019","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2019","Oct","mean",2.97,-0.25,6.99,3.03,966.34,96.05,2.35,0.08,347.07,2.86,47.74,0.2,NA,NA,NA,75.92,NA
"Boulder Creek","2019","Oct","max",7.59,6.66,13.21,18,987.02,100,7.51,0.82,72.41,7.98,111.29,0.23,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2019","Oct","min",-2.23,-7.22,1.67,0,939.66,83.65,-3.58,0,270.14,1.3,11.75,0.19,Inf,Inf,Inf,15.12,Inf
"Boulder Creek","2019","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2019","Nov","mean",-0.55,-2.56,1.92,3.32,967.19,97.02,-0.98,0.01,334.96,3.24,17.22,0.2,NA,NA,NA,78.18,NA
"Boulder Creek","2019","Nov","max",5.84,4.09,8.94,21.2,983.15,100,5.85,0.15,83.04,7.55,43.01,0.23,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2019","Nov","min",-12.38,-14.79,-8.2,0,952.53,79.85,-13.18,0,284.83,1.01,3.84,0.16,Inf,Inf,Inf,4.02,Inf
"Boulder Creek","2019","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2019","Dec","mean",-4.94,-7.79,-2.88,0.37,960.37,97.07,-5.35,0.01,319.21,2.65,9.29,0.08,NA,NA,NA,53.66,NA
"Boulder Creek","2019","Dec","max",0.24,-0.17,1.37,6,973.71,100,0.11,0.1,25.97,5.54,14.88,0.15,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2019","Dec","min",-12.41,-16.58,-8.07,0,947.32,92.75,-13.12,0,291.15,0.5,2.8,0.06,Inf,Inf,Inf,8.87,Inf
"Boulder Creek","2019","Dec","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2020","Jan","mean",-8.44,-11.59,-5.53,1.03,959.1,93.5,-9.29,0.1,336.1,3.7,14.61,0.11,NA,NA,NA,58.5,NA
"Boulder Creek","2020","Jan","max",1.41,0.08,4.25,8.6,978.58,100,0.92,1.22,77.61,8.56,43.42,0.18,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2020","Jan","min",-30.66,-33.61,-24.88,0,942.9,76.52,-32.77,0,288.8,0,2.74,0.08,Inf,Inf,Inf,2.92,Inf
"Boulder Creek","2020","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2020","Feb","mean",-2.05,-5.41,2.09,0.81,965.03,93.12,-3.15,0.03,345.46,3.52,50.33,0.16,NA,NA,NA,55.1,NA
"Boulder Creek","2020","Feb","max",2.23,-0.79,8.29,7.6,977.25,100,0.4,0.23,69.07,7.55,123.63,0.17,-Inf,-Inf,-Inf,89.14,-Inf
"Boulder Creek","2020","Feb","min",-9.52,-13.13,-8.1,0,951.59,72.06,-10.24,0,286.58,1.01,12.95,0.16,Inf,Inf,Inf,7.77,Inf
"Boulder Creek","2020","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,0,29
"Boulder Creek","2020","Mar","mean",-1.36,-6.36,4.53,1.21,964.02,78.43,-5.15,0.09,352.62,4.3,110.71,0.17,NA,NA,NA,35.83,NA
"Boulder Creek","2020","Mar","max",2.73,0.25,10.49,10.4,985.15,99.46,2.08,0.99,88.68,10.07,184.78,0.19,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2020","Mar","min",-9.52,-18.43,-4.29,0,947.02,51.33,-18.63,0,280.14,1.51,28.63,0.16,Inf,Inf,Inf,0,Inf
"Boulder Creek","2020","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2020","Apr","mean",3.91,-2.88,11.3,0.49,966.88,68.31,-2.15,0.08,5.88,5.07,174.93,0.19,NA,NA,NA,21.25,NA
"Boulder Creek","2020","Apr","max",9.06,3.14,20.41,9.8,979.25,84.28,4.31,0.29,56.86,9.56,251.44,0.23,-Inf,-Inf,-Inf,55.81,-Inf
"Boulder Creek","2020","Apr","min",-6.65,-14.35,-0.48,0,953.94,49.75,-13.27,0,310.63,2.52,73.95,0.17,Inf,Inf,Inf,0.02,Inf
"Boulder Creek","2020","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2020","May","mean",11.02,3.62,18.13,0.97,964.82,68.08,4.22,0.17,3.12,5.28,223.14,0.17,NA,NA,NA,30.1,NA
"Boulder Creek","2020","May","max",17,9.14,24.51,6.4,980.51,91.53,10.31,0.8,81.37,8.56,346.75,0.19,-Inf,-Inf,-Inf,72.72,-Inf
"Boulder Creek","2020","May","min",6.63,-2.57,11.81,0,954.19,31.63,-3.04,0,294.83,3.02,69.52,0.15,Inf,Inf,Inf,0,Inf
"Boulder Creek","2020","May","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2020","Jun","mean",11.93,6.72,17.82,2.53,963.39,81.9,8.54,0.06,4.9,4.9,195.24,0.18,NA,NA,NA,43.95,NA
"Boulder Creek","2020","Jun","max",16.16,12.53,24.75,22,971.45,95.03,14.81,0.19,77.98,12.08,345.25,0.21,-Inf,-Inf,-Inf,83.16,-Inf
"Boulder Creek","2020","Jun","min",8.35,0.3,12.51,0,955.4,66.92,4.73,0,276.8,2.52,97.95,0.15,Inf,Inf,Inf,7.94,Inf
"Boulder Creek","2020","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2020","Jul","mean",14.6,9.65,20.09,1.56,964.36,84.87,11.75,0.02,7.58,3.75,177.76,0.18,NA,NA,NA,24.99,NA
"Boulder Creek","2020","Jul","max",21.26,13.52,32,11,971.45,99.2,15.18,0.23,89.48,6.54,295.99,0.2,-Inf,-Inf,-Inf,77.21,-Inf
"Boulder Creek","2020","Jul","min",11.59,5.05,14.17,0,955.63,69.48,9.3,0,273.35,1.51,56.55,0.17,Inf,Inf,Inf,2.72,Inf
"Boulder Creek","2020","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2020","Aug","mean",12.87,9.1,17.84,3.81,963.97,92.11,11.48,0,9.49,3.28,118.69,0.19,NA,NA,NA,48.26,NA
"Boulder Creek","2020","Aug","max",18.89,13.4,24.63,28,970.44,98.37,15.85,0.04,84.94,5.54,209.72,0.22,-Inf,-Inf,-Inf,73.43,-Inf
"Boulder Creek","2020","Aug","min",9.36,4.53,11.66,0,952.33,74.33,8.52,0,270.84,2.01,60.2,0.16,Inf,Inf,Inf,6.86,Inf
"Boulder Creek","2020","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2020","Sep","mean",10.75,6.09,16.69,2.19,966.24,92.37,9.37,0.01,8.98,2.84,102.41,0.19,NA,NA,NA,60.43,NA
"Boulder Creek","2020","Sep","max",13.69,11.05,24.77,26.6,984.37,99.7,12.32,0.1,72.37,5.54,186.55,0.22,-Inf,-Inf,-Inf,91.98,-Inf
"Boulder Creek","2020","Sep","min",6.66,1.37,9.9,0,945.38,80.95,6.25,0,270.33,0,32.12,0.18,Inf,Inf,Inf,28.55,Inf
"Boulder Creek","2020","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30
"Boulder Creek","2020","Oct","mean",2.54,-0.1,6.18,1.92,967.91,94.96,1.75,0,344.65,2.63,50.1,0.19,NA,NA,NA,55.2,NA
"Boulder Creek","2020","Oct","max",12.53,8.27,20.1,11.2,987.41,100,11.01,0.15,64.28,7.05,132.38,0.22,-Inf,-Inf,-Inf,93.9,-Inf
"Boulder Creek","2020","Oct","min",-7.1,-11.43,-2.45,0,947.57,79.01,-9.45,0,297.37,1.01,8.42,0.19,Inf,Inf,Inf,5.69,Inf
"Boulder Creek","2020","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,31
"Boulder Creek","2020","Nov","mean",-1.22,-3.51,0.92,1.25,958.89,97.89,-1.53,0.01,337.25,2.6,18.08,0.19,NA,NA,NA,54.7,NA
