"Site","WS","gseason","WD","n"
"Blackhawk","(9, Inf]","Summer","270",93
"Blackhawk","(9, Inf]","Summer","300",23
"Blackhawk","(9, Inf]","Summer","330",19
"Blackhawk","(9, Inf]","Winter","0",23
"Blackhawk","(9, Inf]","Winter","30",37
"Blackhawk","(9, Inf]","Winter","60",794
"Blackhawk","(9, Inf]","Winter","90",387
"Blackhawk","(9, Inf]","Winter","120",29
"Blackhawk","(9, Inf]","Winter","150",22
"Blackhawk","(9, Inf]","Winter","180",28
"Blackhawk","(9, Inf]","Winter","210",3254
"Blackhawk","(9, Inf]","Winter","240",2815
"Blackhawk","(9, Inf]","Winter","270",37
"Blackhawk","(9, Inf]","Winter","300",18
"Blackhawk","(9, Inf]","Winter","330",25
"Blackhawk","(6,9]","Summer","0",70
"Blackhawk","(6,9]","Summer","30",112
"Blackhawk","(6,9]","Summer","60",630
"Blackhawk","(6,9]","Summer","90",355
"Blackhawk","(6,9]","Summer","120",129
"Blackhawk","(6,9]","Summer","150",74
"Blackhawk","(6,9]","Summer","180",109
"Blackhawk","(6,9]","Summer","210",1352
"Blackhawk","(6,9]","Summer","240",1399
"Blackhawk","(6,9]","Summer","270",261
"Blackhawk","(6,9]","Summer","300",154
"Blackhawk","(6,9]","Summer","330",83
"Blackhawk","(6,9]","Winter","0",128
"Blackhawk","(6,9]","Winter","30",152
"Blackhawk","(6,9]","Winter","60",373
"Blackhawk","(6,9]","Winter","90",169
"Blackhawk","(6,9]","Winter","120",116
"Blackhawk","(6,9]","Winter","150",41
"Blackhawk","(6,9]","Winter","180",97
"Blackhawk","(6,9]","Winter","210",1515
"Blackhawk","(6,9]","Winter","240",1696
"Blackhawk","(6,9]","Winter","270",214
"Blackhawk","(6,9]","Winter","300",143
"Blackhawk","(6,9]","Winter","330",122
"Blackhawk","(3,6]","Summer","0",257
"Blackhawk","(3,6]","Summer","30",324
"Blackhawk","(3,6]","Summer","60",709
"Blackhawk","(3,6]","Summer","90",509
"Blackhawk","(3,6]","Summer","120",144
"Blackhawk","(3,6]","Summer","150",96
"Blackhawk","(3,6]","Summer","180",173
"Blackhawk","(3,6]","Summer","210",1229
"Blackhawk","(3,6]","Summer","240",1473
"Blackhawk","(3,6]","Summer","270",487
"Blackhawk","(3,6]","Summer","300",250
"Blackhawk","(3,6]","Summer","330",239
"Blackhawk","(3,6]","Winter","0",393
"Blackhawk","(3,6]","Winter","30",367
"Blackhawk","(3,6]","Winter","60",513
"Blackhawk","(3,6]","Winter","90",262
"Blackhawk","(3,6]","Winter","120",102
"Blackhawk","(3,6]","Winter","150",77
"Blackhawk","(3,6]","Winter","180",258
"Blackhawk","(3,6]","Winter","210",1612
"Blackhawk","(3,6]","Winter","240",2006
"Blackhawk","(3,6]","Winter","270",483
"Blackhawk","(3,6]","Winter","300",299
"Blackhawk","(3,6]","Winter","330",322
"Blackhawk","(-Inf,3]","Summer","0",979
"Blackhawk","(-Inf,3]","Summer","30",1385
"Blackhawk","(-Inf,3]","Summer","60",2267
"Blackhawk","(-Inf,3]","Summer","90",1204
"Blackhawk","(-Inf,3]","Summer","120",597
"Blackhawk","(-Inf,3]","Summer","150",600
"Blackhawk","(-Inf,3]","Summer","180",978
"Blackhawk","(-Inf,3]","Summer","210",3847
"Blackhawk","(-Inf,3]","Summer","240",5018
"Blackhawk","(-Inf,3]","Summer","270",1905
"Blackhawk","(-Inf,3]","Summer","300",886
"Blackhawk","(-Inf,3]","Summer","330",719
"Blackhawk","(-Inf,3]","Winter","0",2490
"Blackhawk","(-Inf,3]","Winter","30",2458
"Blackhawk","(-Inf,3]","Winter","60",3532
"Blackhawk","(-Inf,3]","Winter","90",1655
"Blackhawk","(-Inf,3]","Winter","120",649
"Blackhawk","(-Inf,3]","Winter","150",894
"Blackhawk","(-Inf,3]","Winter","180",1520
"Blackhawk","(-Inf,3]","Winter","210",5082
"Blackhawk","(-Inf,3]","Winter","240",6222
"Blackhawk","(-Inf,3]","Winter","270",3667
"Blackhawk","(-Inf,3]","Winter","300",1956
"Blackhawk","(-Inf,3]","Winter","330",1630
"Boulder Creek","(9, Inf]","Summer","60",1
"Boulder Creek","(9, Inf]","Summer","150",1
"Boulder Creek","(9, Inf]","Winter","0",3
"Boulder Creek","(9, Inf]","Winter","30",8
"Boulder Creek","(9, Inf]","Winter","60",16
"Boulder Creek","(9, Inf]","Winter","90",7
"Boulder Creek","(9, Inf]","Winter","120",1
"Boulder Creek","(9, Inf]","Winter","150",2
"Boulder Creek","(6,9]","Summer","0",42
"Boulder Creek","(6,9]","Summer","30",55
"Boulder Creek","(6,9]","Summer","60",48
"Boulder Creek","(6,9]","Summer","90",33
"Boulder Creek","(6,9]","Summer","120",33
"Boulder Creek","(6,9]","Summer","150",17
"Boulder Creek","(6,9]","Summer","180",2
"Boulder Creek","(6,9]","Summer","210",1
"Boulder Creek","(6,9]","Summer","240",5
"Boulder Creek","(6,9]","Summer","270",97
"Boulder Creek","(6,9]","Summer","300",40
"Boulder Creek","(6,9]","Summer","330",9
"Boulder Creek","(6,9]","Winter","0",19
"Boulder Creek","(6,9]","Winter","30",162
"Boulder Creek","(6,9]","Winter","60",259
"Boulder Creek","(6,9]","Winter","90",118
"Boulder Creek","(6,9]","Winter","120",51
"Boulder Creek","(6,9]","Winter","150",66
"Boulder Creek","(6,9]","Winter","180",28
"Boulder Creek","(6,9]","Winter","210",2
"Boulder Creek","(6,9]","Winter","240",4
"Boulder Creek","(6,9]","Winter","270",8
"Boulder Creek","(6,9]","Winter","300",4
"Boulder Creek","(6,9]","Winter","330",1
"Boulder Creek","(3,6]","Summer","0",277
"Boulder Creek","(3,6]","Summer","30",445
"Boulder Creek","(3,6]","Summer","60",347
"Boulder Creek","(3,6]","Summer","90",220
"Boulder Creek","(3,6]","Summer","120",148
"Boulder Creek","(3,6]","Summer","150",95
"Boulder Creek","(3,6]","Summer","180",114
"Boulder Creek","(3,6]","Summer","210",269
"Boulder Creek","(3,6]","Summer","240",734
"Boulder Creek","(3,6]","Summer","270",1184
"Boulder Creek","(3,6]","Summer","300",546
"Boulder Creek","(3,6]","Summer","330",268
"Boulder Creek","(3,6]","Winter","0",162
"Boulder Creek","(3,6]","Winter","30",834
"Boulder Creek","(3,6]","Winter","60",1122
"Boulder Creek","(3,6]","Winter","90",673
"Boulder Creek","(3,6]","Winter","120",359
"Boulder Creek","(3,6]","Winter","150",265
"Boulder Creek","(3,6]","Winter","180",132
"Boulder Creek","(3,6]","Winter","210",102
"Boulder Creek","(3,6]","Winter","240",133
"Boulder Creek","(3,6]","Winter","270",165
"Boulder Creek","(3,6]","Winter","300",57
"Boulder Creek","(3,6]","Winter","330",28
"Boulder Creek","(-Inf,3]","Summer","0",2015
"Boulder Creek","(-Inf,3]","Summer","30",3960
"Boulder Creek","(-Inf,3]","Summer","60",4180
"Boulder Creek","(-Inf,3]","Summer","90",3270
"Boulder Creek","(-Inf,3]","Summer","120",3811
"Boulder Creek","(-Inf,3]","Summer","150",2923
"Boulder Creek","(-Inf,3]","Summer","180",2610
"Boulder Creek","(-Inf,3]","Summer","210",2546
"Boulder Creek","(-Inf,3]","Summer","240",2489
"Boulder Creek","(-Inf,3]","Summer","270",2614
"Boulder Creek","(-Inf,3]","Summer","300",2481
"Boulder Creek","(-Inf,3]","Summer","330",2245
"Boulder Creek","(-Inf,3]","Winter","0",1985
"Boulder Creek","(-Inf,3]","Winter","30",6041
"Boulder Creek","(-Inf,3]","Winter","60",9319
"Boulder Creek","(-Inf,3]","Winter","90",7445
"Boulder Creek","(-Inf,3]","Winter","120",8110
"Boulder Creek","(-Inf,3]","Winter","150",7041
"Boulder Creek","(-Inf,3]","Winter","180",3334
"Boulder Creek","(-Inf,3]","Winter","210",1963
"Boulder Creek","(-Inf,3]","Winter","240",1752
"Boulder Creek","(-Inf,3]","Winter","270",1484
"Boulder Creek","(-Inf,3]","Winter","300",1226
"Boulder Creek","(-Inf,3]","Winter","330",1154
"Bulkley","(6,9]","Summer","0",9
"Bulkley","(6,9]","Summer","60",1
"Bulkley","(6,9]","Summer","120",3
"Bulkley","(6,9]","Summer","150",2
"Bulkley","(6,9]","Summer","270",2
"Bulkley","(6,9]","Summer","300",3
"Bulkley","(6,9]","Summer","330",37
"Bulkley","(6,9]","Winter","0",32
"Bulkley","(6,9]","Winter","30",3
"Bulkley","(6,9]","Winter","120",42
"Bulkley","(6,9]","Winter","150",858
"Bulkley","(6,9]","Winter","180",37
"Bulkley","(6,9]","Winter","210",2
"Bulkley","(6,9]","Winter","240",7
"Bulkley","(6,9]","Winter","270",8
"Bulkley","(6,9]","Winter","300",12
"Bulkley","(6,9]","Winter","330",138
"Bulkley","(3,6]","Summer","0",372
"Bulkley","(3,6]","Summer","30",94
"Bulkley","(3,6]","Summer","60",39
"Bulkley","(3,6]","Summer","90",167
"Bulkley","(3,6]","Summer","120",491
"Bulkley","(3,6]","Summer","150",461
"Bulkley","(3,6]","Summer","180",60
"Bulkley","(3,6]","Summer","210",152
"Bulkley","(3,6]","Summer","240",217
"Bulkley","(3,6]","Summer","270",282
"Bulkley","(3,6]","Summer","300",530
"Bulkley","(3,6]","Summer","330",882
"Bulkley","(3,6]","Winter","0",203
"Bulkley","(3,6]","Winter","30",33
"Bulkley","(3,6]","Winter","60",29
"Bulkley","(3,6]","Winter","90",149
"Bulkley","(3,6]","Winter","120",2098
"Bulkley","(3,6]","Winter","150",5317
"Bulkley","(3,6]","Winter","180",455
"Bulkley","(3,6]","Winter","210",162
"Bulkley","(3,6]","Winter","240",241
"Bulkley","(3,6]","Winter","270",236
"Bulkley","(3,6]","Winter","300",964
"Bulkley","(3,6]","Winter","330",1340
"Bulkley","(-Inf,3]","Summer","0",3718
"Bulkley","(-Inf,3]","Summer","30",2928
"Bulkley","(-Inf,3]","Summer","60",4139
"Bulkley","(-Inf,3]","Summer","90",4634
"Bulkley","(-Inf,3]","Summer","120",6359
"Bulkley","(-Inf,3]","Summer","150",3938
"Bulkley","(-Inf,3]","Summer","180",2910
"Bulkley","(-Inf,3]","Summer","210",3204
"Bulkley","(-Inf,3]","Summer","240",3419
"Bulkley","(-Inf,3]","Summer","270",6024
"Bulkley","(-Inf,3]","Summer","300",8015
"Bulkley","(-Inf,3]","Summer","330",6328
"Bulkley","(-Inf,3]","Winter","0",3812
"Bulkley","(-Inf,3]","Winter","30",1963
"Bulkley","(-Inf,3]","Winter","60",2631
"Bulkley","(-Inf,3]","Winter","90",3796
"Bulkley","(-Inf,3]","Winter","120",8117
"Bulkley","(-Inf,3]","Winter","150",7870
"Bulkley","(-Inf,3]","Winter","180",3612
"Bulkley","(-Inf,3]","Winter","210",3162
"Bulkley","(-Inf,3]","Winter","240",3111
"Bulkley","(-Inf,3]","Winter","270",5107
"Bulkley","(-Inf,3]","Winter","300",10868
"Bulkley","(-Inf,3]","Winter","330",10371
"Canoe","(9, Inf]","Summer","0",1658
"Canoe","(9, Inf]","Summer","30",1870
"Canoe","(9, Inf]","Summer","60",834
"Canoe","(9, Inf]","Summer","90",451
"Canoe","(9, Inf]","Summer","120",1028
"Canoe","(9, Inf]","Summer","150",7362
"Canoe","(9, Inf]","Summer","180",6995
"Canoe","(9, Inf]","Summer","210",2051
"Canoe","(9, Inf]","Summer","240",896
"Canoe","(9, Inf]","Summer","270",301
"Canoe","(9, Inf]","Summer","300",171
"Canoe","(9, Inf]","Summer","330",349
"Canoe","(9, Inf]","Winter","0",1347
"Canoe","(9, Inf]","Winter","30",1416
"Canoe","(9, Inf]","Winter","60",1012
"Canoe","(9, Inf]","Winter","90",434
"Canoe","(9, Inf]","Winter","120",980
"Canoe","(9, Inf]","Winter","150",11735
"Canoe","(9, Inf]","Winter","180",7848
"Canoe","(9, Inf]","Winter","210",1046
"Canoe","(9, Inf]","Winter","240",337
"Canoe","(9, Inf]","Winter","270",99
"Canoe","(9, Inf]","Winter","300",48
"Canoe","(9, Inf]","Winter","330",183
"Canoe","(6,9]","Summer","0",343
"Canoe","(6,9]","Summer","30",349
"Canoe","(6,9]","Summer","60",179
"Canoe","(6,9]","Summer","90",138
"Canoe","(6,9]","Summer","120",302
"Canoe","(6,9]","Summer","150",376
"Canoe","(6,9]","Summer","180",243
"Canoe","(6,9]","Summer","210",193
"Canoe","(6,9]","Summer","240",173
"Canoe","(6,9]","Summer","270",112
"Canoe","(6,9]","Summer","300",115
"Canoe","(6,9]","Summer","330",167
"Canoe","(6,9]","Winter","0",194
"Canoe","(6,9]","Winter","30",272
"Canoe","(6,9]","Winter","60",125
"Canoe","(6,9]","Winter","90",127
"Canoe","(6,9]","Winter","120",221
"Canoe","(6,9]","Winter","150",360
"Canoe","(6,9]","Winter","180",189
"Canoe","(6,9]","Winter","210",64
"Canoe","(6,9]","Winter","240",53
"Canoe","(6,9]","Winter","270",32
"Canoe","(6,9]","Winter","300",25
"Canoe","(6,9]","Winter","330",63
"Canoe","(3,6]","Summer","0",196
"Canoe","(3,6]","Summer","30",209
"Canoe","(3,6]","Summer","60",153
"Canoe","(3,6]","Summer","90",212
"Canoe","(3,6]","Summer","120",317
"Canoe","(3,6]","Summer","150",194
"Canoe","(3,6]","Summer","180",116
"Canoe","(3,6]","Summer","210",92
"Canoe","(3,6]","Summer","240",115
"Canoe","(3,6]","Summer","270",89
"Canoe","(3,6]","Summer","300",99
"Canoe","(3,6]","Summer","330",131
"Canoe","(3,6]","Winter","0",171
"Canoe","(3,6]","Winter","30",207
"Canoe","(3,6]","Winter","60",168
"Canoe","(3,6]","Winter","90",182
"Canoe","(3,6]","Winter","120",232
"Canoe","(3,6]","Winter","150",295
"Canoe","(3,6]","Winter","180",146
"Canoe","(3,6]","Winter","210",64
"Canoe","(3,6]","Winter","240",40
"Canoe","(3,6]","Winter","270",31
"Canoe","(3,6]","Winter","300",33
"Canoe","(3,6]","Winter","330",64
"Canoe","(-Inf,3]","Summer","0",258
"Canoe","(-Inf,3]","Summer","30",191
"Canoe","(-Inf,3]","Summer","60",124
"Canoe","(-Inf,3]","Summer","90",140
"Canoe","(-Inf,3]","Summer","120",186
"Canoe","(-Inf,3]","Summer","150",208
"Canoe","(-Inf,3]","Summer","180",116
"Canoe","(-Inf,3]","Summer","210",57
"Canoe","(-Inf,3]","Summer","240",62
"Canoe","(-Inf,3]","Summer","270",60
"Canoe","(-Inf,3]","Summer","300",67
"Canoe","(-Inf,3]","Summer","330",112
"Canoe","(-Inf,3]","Winter","0",692
"Canoe","(-Inf,3]","Winter","30",511
"Canoe","(-Inf,3]","Winter","60",610
"Canoe","(-Inf,3]","Winter","90",585
"Canoe","(-Inf,3]","Winter","120",651
"Canoe","(-Inf,3]","Winter","150",4465
"Canoe","(-Inf,3]","Winter","180",2052
"Canoe","(-Inf,3]","Winter","210",249
"Canoe","(-Inf,3]","Winter","240",112
"Canoe","(-Inf,3]","Winter","270",196
"Canoe","(-Inf,3]","Winter","300",60
"Canoe","(-Inf,3]","Winter","330",190
"Caribou Pass","(9, Inf]","Summer","0",3
"Caribou Pass","(9, Inf]","Summer","30",1
"Caribou Pass","(9, Inf]","Summer","60",18
"Caribou Pass","(9, Inf]","Summer","90",115
"Caribou Pass","(9, Inf]","Summer","120",114
"Caribou Pass","(9, Inf]","Summer","150",171
"Caribou Pass","(9, Inf]","Summer","180",91
"Caribou Pass","(9, Inf]","Summer","210",192
"Caribou Pass","(9, Inf]","Summer","240",239
"Caribou Pass","(9, Inf]","Summer","270",113
"Caribou Pass","(9, Inf]","Summer","300",125
"Caribou Pass","(9, Inf]","Summer","330",16
"Caribou Pass","(9, Inf]","Winter","0",8
"Caribou Pass","(9, Inf]","Winter","30",8
"Caribou Pass","(9, Inf]","Winter","60",128
"Caribou Pass","(9, Inf]","Winter","90",423
"Caribou Pass","(9, Inf]","Winter","120",220
"Caribou Pass","(9, Inf]","Winter","150",362
"Caribou Pass","(9, Inf]","Winter","180",190
"Caribou Pass","(9, Inf]","Winter","210",234
"Caribou Pass","(9, Inf]","Winter","240",189
"Caribou Pass","(9, Inf]","Winter","270",79
"Caribou Pass","(9, Inf]","Winter","300",108
"Caribou Pass","(9, Inf]","Winter","330",17
"Caribou Pass","(6,9]","Summer","60",7
"Caribou Pass","(6,9]","Summer","90",12
"Caribou Pass","(6,9]","Summer","120",8
"Caribou Pass","(6,9]","Summer","150",7
"Caribou Pass","(6,9]","Summer","180",2
"Caribou Pass","(6,9]","Summer","210",13
"Caribou Pass","(6,9]","Summer","240",7
"Caribou Pass","(6,9]","Summer","270",16
"Caribou Pass","(6,9]","Summer","300",16
"Caribou Pass","(6,9]","Summer","330",6
"Caribou Pass","(6,9]","Winter","0",1
"Caribou Pass","(6,9]","Winter","30",5
"Caribou Pass","(6,9]","Winter","60",20
"Caribou Pass","(6,9]","Winter","90",28
"Caribou Pass","(6,9]","Winter","120",20
"Caribou Pass","(6,9]","Winter","150",11
"Caribou Pass","(6,9]","Winter","180",12
"Caribou Pass","(6,9]","Winter","210",11
"Caribou Pass","(6,9]","Winter","240",3
"Caribou Pass","(6,9]","Winter","270",7
"Caribou Pass","(6,9]","Winter","300",9
"Caribou Pass","(6,9]","Winter","330",4
"Caribou Pass","(3,6]","Summer","30",4
"Caribou Pass","(3,6]","Summer","60",1
"Caribou Pass","(3,6]","Summer","90",12
"Caribou Pass","(3,6]","Summer","120",3
"Caribou Pass","(3,6]","Summer","150",4
"Caribou Pass","(3,6]","Summer","180",3
"Caribou Pass","(3,6]","Summer","210",3
"Caribou Pass","(3,6]","Summer","240",3
"Caribou Pass","(3,6]","Summer","270",6
"Caribou Pass","(3,6]","Summer","300",4
"Caribou Pass","(3,6]","Summer","330",3
"Caribou Pass","(3,6]","Winter","0",2
"Caribou Pass","(3,6]","Winter","30",12
"Caribou Pass","(3,6]","Winter","60",10
"Caribou Pass","(3,6]","Winter","90",4
"Caribou Pass","(3,6]","Winter","120",8
"Caribou Pass","(3,6]","Winter","150",14
"Caribou Pass","(3,6]","Winter","180",4
"Caribou Pass","(3,6]","Winter","210",4
"Caribou Pass","(3,6]","Winter","240",6
"Caribou Pass","(3,6]","Winter","270",8
"Caribou Pass","(3,6]","Winter","300",2
"Caribou Pass","(3,6]","Winter","330",9
"Caribou Pass","(-Inf,3]","Summer","0",2
"Caribou Pass","(-Inf,3]","Summer","30",5
"Caribou Pass","(-Inf,3]","Summer","60",2
"Caribou Pass","(-Inf,3]","Summer","90",3
"Caribou Pass","(-Inf,3]","Summer","120",2
"Caribou Pass","(-Inf,3]","Summer","150",2
"Caribou Pass","(-Inf,3]","Summer","180",3
"Caribou Pass","(-Inf,3]","Summer","210",2
"Caribou Pass","(-Inf,3]","Summer","240",6
"Caribou Pass","(-Inf,3]","Summer","270",5
"Caribou Pass","(-Inf,3]","Summer","300",6
"Caribou Pass","(-Inf,3]","Summer","330",5
"Caribou Pass","(-Inf,3]","Winter","0",3
"Caribou Pass","(-Inf,3]","Winter","30",2
"Caribou Pass","(-Inf,3]","Winter","60",38
"Caribou Pass","(-Inf,3]","Winter","90",28
"Caribou Pass","(-Inf,3]","Winter","120",9
"Caribou Pass","(-Inf,3]","Winter","150",9
"Caribou Pass","(-Inf,3]","Winter","180",17
"Caribou Pass","(-Inf,3]","Winter","210",6
"Caribou Pass","(-Inf,3]","Winter","240",3
"Caribou Pass","(-Inf,3]","Winter","270",2
"Caribou Pass","(-Inf,3]","Winter","300",2
"Caribou Pass","(-Inf,3]","Winter","330",5
"Central Plateau Finlay","(9, Inf]","Summer","0",2243
"Central Plateau Finlay","(9, Inf]","Winter","0",1903
"Central Plateau Finlay","(9, Inf]","Winter","150",1
"Central Plateau Finlay","(6,9]","Summer","0",44
"Central Plateau Finlay","(6,9]","Summer","120",6
"Central Plateau Finlay","(6,9]","Summer","150",3
"Central Plateau Finlay","(6,9]","Summer","270",1
"Central Plateau Finlay","(6,9]","Summer","300",1
"Central Plateau Finlay","(6,9]","Winter","0",69
"Central Plateau Finlay","(6,9]","Winter","120",392
"Central Plateau Finlay","(6,9]","Winter","150",527
"Central Plateau Finlay","(6,9]","Winter","270",4
"Central Plateau Finlay","(6,9]","Winter","330",1
"Central Plateau Finlay","(3,6]","Summer","0",59
"Central Plateau Finlay","(3,6]","Summer","30",1
"Central Plateau Finlay","(3,6]","Summer","90",112
"Central Plateau Finlay","(3,6]","Summer","120",800
"Central Plateau Finlay","(3,6]","Summer","150",312
"Central Plateau Finlay","(3,6]","Summer","180",55
"Central Plateau Finlay","(3,6]","Summer","210",58
"Central Plateau Finlay","(3,6]","Summer","240",82
"Central Plateau Finlay","(3,6]","Summer","270",300
"Central Plateau Finlay","(3,6]","Summer","300",177
"Central Plateau Finlay","(3,6]","Summer","330",108
"Central Plateau Finlay","(3,6]","Winter","0",56
"Central Plateau Finlay","(3,6]","Winter","30",3
"Central Plateau Finlay","(3,6]","Winter","60",4
"Central Plateau Finlay","(3,6]","Winter","90",193
"Central Plateau Finlay","(3,6]","Winter","120",5289
"Central Plateau Finlay","(3,6]","Winter","150",2599
"Central Plateau Finlay","(3,6]","Winter","180",85
"Central Plateau Finlay","(3,6]","Winter","210",71
"Central Plateau Finlay","(3,6]","Winter","240",87
"Central Plateau Finlay","(3,6]","Winter","270",299
"Central Plateau Finlay","(3,6]","Winter","300",304
"Central Plateau Finlay","(3,6]","Winter","330",230
"Central Plateau Finlay","(-Inf,3]","Summer","0",3368
"Central Plateau Finlay","(-Inf,3]","Summer","30",2864
"Central Plateau Finlay","(-Inf,3]","Summer","60",2906
"Central Plateau Finlay","(-Inf,3]","Summer","90",5687
"Central Plateau Finlay","(-Inf,3]","Summer","120",6961
"Central Plateau Finlay","(-Inf,3]","Summer","150",3751
"Central Plateau Finlay","(-Inf,3]","Summer","180",4592
"Central Plateau Finlay","(-Inf,3]","Summer","210",8085
"Central Plateau Finlay","(-Inf,3]","Summer","240",7168
"Central Plateau Finlay","(-Inf,3]","Summer","270",4916
"Central Plateau Finlay","(-Inf,3]","Summer","300",2715
"Central Plateau Finlay","(-Inf,3]","Summer","330",1951
"Central Plateau Finlay","(-Inf,3]","Winter","0",4993
"Central Plateau Finlay","(-Inf,3]","Winter","30",1659
"Central Plateau Finlay","(-Inf,3]","Winter","60",2055
"Central Plateau Finlay","(-Inf,3]","Winter","90",6544
"Central Plateau Finlay","(-Inf,3]","Winter","120",12527
"Central Plateau Finlay","(-Inf,3]","Winter","150",5062
"Central Plateau Finlay","(-Inf,3]","Winter","180",4396
"Central Plateau Finlay","(-Inf,3]","Winter","210",5484
"Central Plateau Finlay","(-Inf,3]","Winter","240",6350
"Central Plateau Finlay","(-Inf,3]","Winter","270",9234
"Central Plateau Finlay","(-Inf,3]","Winter","300",6039
"Central Plateau Finlay","(-Inf,3]","Winter","330",2916
"Chapman","(9, Inf]","Summer","240",2
"Chapman","(9, Inf]","Summer","270",6
"Chapman","(9, Inf]","Summer","300",1
"Chapman","(9, Inf]","Summer","330",1
"Chapman","(9, Inf]","Winter","240",9
"Chapman","(6,9]","Summer","60",1
"Chapman","(6,9]","Summer","240",3
"Chapman","(6,9]","Summer","270",14
"Chapman","(6,9]","Summer","300",31
"Chapman","(6,9]","Winter","30",3
"Chapman","(6,9]","Winter","60",10
"Chapman","(6,9]","Winter","90",2
"Chapman","(6,9]","Winter","210",1
"Chapman","(6,9]","Winter","240",7
"Chapman","(6,9]","Winter","270",5
"Chapman","(6,9]","Winter","300",2
"Chapman","(3,6]","Summer","0",18
"Chapman","(3,6]","Summer","30",22
"Chapman","(3,6]","Summer","60",38
"Chapman","(3,6]","Summer","90",18
"Chapman","(3,6]","Summer","120",6
"Chapman","(3,6]","Summer","150",2
"Chapman","(3,6]","Summer","180",13
