"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Gnat Pass","Winter (Oct-Apr)","min",-25.64,-30.41,-23.36,0,791.07,12.34,-31.05,0,270.08,0,3.83,Inf,Inf,Inf,Inf,Inf,Inf
"Gnat Pass","Winter (Oct-Apr)","obs_na",0,0,0,0,22,0,0,0,0,0,0,849,849,849,849,849,849
"Gunnel","Summer (May-Sep)","mean",7.62,4.8,10.59,2.93,846.88,72.9,2.42,2.76,2.99,10.32,183.22,NA,NA,NA,NA,NA,NA
"Gunnel","Summer (May-Sep)","max",23.91,20.53,29.66,75,865.2,100,14.87,9.57,89.37,49.31,382.34,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Gunnel","Summer (May-Sep)","min",-11.66,-14.08,-9.99,0,828.75,24.43,-12.41,0,270.67,0.39,16.08,Inf,Inf,Inf,Inf,Inf,Inf
"Gunnel","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,655,655,655,655,655,655
"Gunnel","Winter (Oct-Apr)","mean",-7.82,-11.13,-4.42,0.09,840.48,69.9,-13.09,3.01,1.65,10.86,65.83,NA,NA,NA,NA,NA,NA
"Gunnel","Winter (Oct-Apr)","max",12.22,8.52,15.87,7.6,864.35,99.91,4.52,7.54,89.5,28.07,272.6,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Gunnel","Winter (Oct-Apr)","min",-36.08,-37.82,-35.27,0,812.34,13.73,-38.75,0,270.79,0,2.9,Inf,Inf,Inf,Inf,Inf,Inf
"Gunnel","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,849,849,849,849,849,849
"Hourglass","Summer (May-Sep)","mean",11.77,6.71,16.79,1.84,885.25,65.56,4.78,1.98,25.24,-Inf,208.71,0.21,NA,NA,NA,NA,0.13
"Hourglass","Summer (May-Sep)","max",29.7,21.84,36.74,106.6,901.55,99.23,15.5,7.3,89.67,19.85,399.84,0.46,-Inf,-Inf,-Inf,-Inf,14.74
"Hourglass","Summer (May-Sep)","min",-4.91,-9.75,-3.45,0,862,25.81,-13.07,0,270.43,-Inf,0.6,0.08,Inf,Inf,Inf,Inf,0
"Hourglass","Summer (May-Sep)","obs_na",0,0,0,69,48,0,0,117,315,0,21,1161,1811,1811,1811,1811,740
"Hourglass","Winter (Oct-Apr)","mean",-4.23,-8.25,-0.29,0.42,881.54,73.58,-8.62,2.12,23.04,-Inf,76.75,0.14,NA,NA,NA,NA,23.51
"Hourglass","Winter (Oct-Apr)","max",15.38,10.17,22.85,25.2,910.11,95.53,8.49,10.41,89.72,26.27,318.48,0.55,-Inf,-Inf,-Inf,-Inf,73.22
"Hourglass","Winter (Oct-Apr)","min",-35.91,-38.91,-33.85,0,853.2,19.06,-39.01,0,270.02,-Inf,4.05,0,Inf,Inf,Inf,Inf,0
"Hourglass","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,213,424,0,0,1597,2431,2431,2431,2431,885
"Hudson Bay Mountain","Summer (May-Sep)","mean",6.82,4.13,9.9,1.32,829.96,77.6,2.64,4.82,18.46,-Inf,197.2,NA,NA,NA,NA,NA,NA
"Hudson Bay Mountain","Summer (May-Sep)","max",23.66,20.53,27.58,29.6,846.23,100,11.98,16.17,89.92,43.27,389.78,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Hudson Bay Mountain","Summer (May-Sep)","min",-5.49,-8.46,-3.6,0,810.32,29,-9.65,1.18,270.02,-Inf,14.31,Inf,Inf,Inf,Inf,Inf,Inf
"Hudson Bay Mountain","Summer (May-Sep)","obs_na",0,0,0,117,0,0,0,124,0,0,0,845,845,845,845,845,845
"Hudson Bay Mountain","Winter (Oct-Apr)","mean",-5.74,-7.95,-3.49,0.26,822.44,86.9,-7.96,5.24,16.64,-Inf,75.14,NA,NA,NA,NA,NA,NA
"Hudson Bay Mountain","Winter (Oct-Apr)","max",12.04,10.05,15.1,25.61,847.35,100,7.65,23.81,89.92,49.31,304.62,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Hudson Bay Mountain","Winter (Oct-Apr)","min",-30.35,-31.92,-29.32,0,795.68,14.92,-32.56,0,270.15,-Inf,5.71,Inf,Inf,Inf,Inf,Inf,Inf
"Hudson Bay Mountain","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,145,42,0,0,1211,1211,1211,1211,1211,1211
"Kluskus","Summer (May-Sep)","mean",10.77,Inf,-Inf,1.47,889.83,69.67,4.56,0.66,12.31,-Inf,208.67,0.25,NA,NA,NA,NA,NA
"Kluskus","Summer (May-Sep)","max",26.52,Inf,36.15,35.6,906.78,98.49,14.08,3.26,89.97,28.71,385.52,0.47,-Inf,-Inf,-Inf,-Inf,-Inf
"Kluskus","Summer (May-Sep)","min",-2.36,-13.12,-Inf,0,873.08,37.72,-8.55,0,270.12,-Inf,26.81,0.02,Inf,Inf,Inf,Inf,Inf
"Kluskus","Summer (May-Sep)","obs_na",78,0,0,48,0,78,78,78,756,0,0,1021,2026,2026,2026,2026,2026
"Kluskus","Winter (Oct-Apr)","mean",-4.14,-10.43,1.9,0.79,885.25,80.84,-7.33,0.58,0.44,5.96,77.13,0.28,NA,NA,NA,NA,NA
"Kluskus","Winter (Oct-Apr)","max",12.53,9.24,24.12,25,913.34,99.98,8.48,3.87,89.83,18.37,300.72,0.52,-Inf,-Inf,-Inf,-Inf,-Inf
"Kluskus","Winter (Oct-Apr)","min",-38.42,-45.99,-27.96,0,858.65,42.55,-41.39,0,270.02,0,2.17,0.06,Inf,Inf,Inf,Inf,Inf
"Kluskus","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,908,0,0,1303,2615,2615,2615,2615,2615
"Mackenzie Junction","Summer (May-Sep)","mean",12.64,4.88,19.96,1.53,931.56,71.31,6.71,1.06,332.57,6.57,201.77,0.1,NA,NA,NA,31.85,NA
"Mackenzie Junction","Summer (May-Sep)","max",27.46,17.3,38.7,46.4,951.64,96.65,17.12,3.03,89.85,18.74,381.55,0.17,-Inf,-Inf,-Inf,100,-Inf
"Mackenzie Junction","Summer (May-Sep)","min",-2.34,-9.85,4.45,0,904.26,32.88,-10.31,0,270.03,0,17.7,0,Inf,Inf,Inf,0,Inf
"Mackenzie Junction","Summer (May-Sep)","obs_na",0,0,0,42,40,0,0,0,0,0,189,1069,2043,2043,2043,0,2043
"Mackenzie Junction","Winter (Oct-Apr)","mean",-3.8,-8.85,0.89,1.05,930.51,81.7,-6.77,0.9,345.13,5.63,69.04,0.1,NA,NA,NA,34.38,NA
"Mackenzie Junction","Winter (Oct-Apr)","max",14.36,10.25,23.83,29.2,961,97.97,9.93,3.56,89.96,15.4,320.71,0.22,-Inf,-Inf,-Inf,100,-Inf
"Mackenzie Junction","Winter (Oct-Apr)","min",-34.99,-40.94,-28.34,0,899.97,43.25,-38.5,0,270.02,0,1.81,0,Inf,Inf,Inf,0,Inf
"Mackenzie Junction","Winter (Oct-Apr)","obs_na",0,0,0,213,0,0,0,0,12,0,41,1556,2692,2692,2692,0,2692
"McDonnel","Summer (May-Sep)","mean",12.42,Inf,-Inf,1.57,907.36,76.34,7.65,0.27,19.43,5.45,179.1,0.33,0.4,0.33,10.13,NA,NA
"McDonnel","Summer (May-Sep)","max",20.41,Inf,31.15,23.2,925.08,95.65,12.6,1.17,89.55,10.07,348.64,0.41,0.59,0.52,14.97,-Inf,-Inf
"McDonnel","Summer (May-Sep)","min",5.24,-2.42,-Inf,0,884.4,54.2,0.7,0,271.73,2.01,36.08,0.2,0.34,0.2,0.84,Inf,Inf
"McDonnel","Summer (May-Sep)","obs_na",94,0,0,0,0,94,94,0,0,0,0,0,20,0,0,238,238
"McDonnel","Winter (Oct-Apr)","mean",5.52,Inf,-Inf,1.19,901.14,86.86,3.25,0.17,5.68,4.48,68.16,0.38,0.45,0.48,2.32,NA,NA
"McDonnel","Winter (Oct-Apr)","max",9.48,Inf,20.39,16.4,925.74,95.8,7.42,1.68,89.16,11.58,264.73,0.41,0.6,0.52,9.55,-Inf,-Inf
"McDonnel","Winter (Oct-Apr)","min",-3,-7.48,-Inf,0,872.45,72.27,-3.76,0,270.68,0,1.49,0.24,0.22,0.22,0.42,Inf,Inf
"McDonnel","Winter (Oct-Apr)","obs_na",212,0,0,0,0,212,212,0,0,0,0,0,67,0,0,238,238
"Middlefork Creek","Summer (May-Sep)","mean",9.22,-0.72,17.6,2.51,901.08,74.08,3.45,1.02,4.39,7.29,193.79,0.27,NA,NA,NA,NA,NA
"Middlefork Creek","Summer (May-Sep)","max",23.89,13.55,36.5,94.2,921.05,100,15.38,4.37,89.97,18.18,384.94,0.46,-Inf,-Inf,-Inf,-Inf,-Inf
"Middlefork Creek","Summer (May-Sep)","min",-8.05,-19.49,-3.93,0,876.87,33.17,-15.02,0,270.05,3.02,10.71,0.13,Inf,Inf,Inf,Inf,Inf
"Middlefork Creek","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,1485,2148,2148,2148,2148,2148
"Middlefork Creek","Winter (Oct-Apr)","mean",-10.96,-19.49,-2.75,0.25,898.4,78.73,-14.5,0.98,354.19,5.87,70.91,0.15,NA,NA,NA,NA,NA
"Middlefork Creek","Winter (Oct-Apr)","max",14.4,6.1,25.5,10.6,931.27,100,5.85,4.94,89.97,18.74,307.33,0.33,-Inf,-Inf,-Inf,-Inf,-Inf
"Middlefork Creek","Winter (Oct-Apr)","min",-46.5,-53.55,-37.96,0,868.75,38.15,-51.27,0,270.01,0,0.6,0.08,Inf,Inf,Inf,Inf,Inf
"Middlefork Creek","Winter (Oct-Apr)","obs_na",0,0,0,0,3,0,0,0,0,0,1,2199,3080,3080,3080,3080,3080
"Mt Edziza","Summer (May-Sep)","mean",5.26,2.51,8.37,2.1,831.27,82.45,2.07,2.62,NA,10.86,146.67,NA,NA,NA,NA,NA,NA
"Mt Edziza","Summer (May-Sep)","max",19.06,15.63,25.02,17.6,847.4,100,9.7,12.1,-Inf,25.89,346.25,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Mt Edziza","Summer (May-Sep)","min",-3.46,-6.33,-2.22,0,811.07,33.1,-6.88,0,Inf,0,21.23,Inf,Inf,Inf,Inf,Inf,Inf
"Mt Edziza","Summer (May-Sep)","obs_na",0,0,0,345,76,0,0,0,401,0,227,401,401,401,401,401,401
"Mt Edziza","Winter (Oct-Apr)","mean",-7.02,-9.12,-4.84,0.03,822.32,87.04,-9.08,1.49,NA,6.32,53.2,NA,NA,NA,NA,NA,NA
"Mt Edziza","Winter (Oct-Apr)","max",9.19,5.8,14.55,0.8,843.45,100,4.1,11.56,-Inf,30.07,244.16,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Mt Edziza","Winter (Oct-Apr)","min",-26.04,-29.12,-22.99,0,795.48,26.96,-28.46,0,Inf,0,0.6,Inf,Inf,Inf,Inf,Inf,Inf
"Mt Edziza","Winter (Oct-Apr)","obs_na",0,0,0,545,83,0,0,0,637,0,332,637,637,637,637,637,637
"Nonda","Summer (May-Sep)","mean",6.59,Inf,-Inf,1.82,826.94,71.97,1.28,4.71,17.98,-Inf,191,NA,NA,NA,NA,NA,NA
"Nonda","Summer (May-Sep)","max",20.24,Inf,24.7,58.6,842.85,100,11.97,17.48,89.97,39.76,419.94,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Nonda","Summer (May-Sep)","min",-10.81,-14.1,-Inf,0,802.95,25.4,-11.57,0,270.15,-Inf,12.85,Inf,Inf,Inf,Inf,Inf,Inf
"Nonda","Summer (May-Sep)","obs_na",417,0,0,172,92,416,417,18,346,0,0,1686,1686,1686,1686,1686,1686
"Nonda","Winter (Oct-Apr)","mean",-7.6,Inf,-Inf,0.13,819,74.23,-11.93,5.32,18.81,-Inf,67.31,NA,NA,NA,NA,NA,NA
"Nonda","Winter (Oct-Apr)","max",12.74,Inf,15.62,22.2,848.53,100,4.48,20.56,89.95,46.94,318.27,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Nonda","Winter (Oct-Apr)","min",-37.09,-39.58,-Inf,0,790.97,10.33,-40.45,0,270.2,-Inf,4.15,Inf,Inf,Inf,Inf,Inf,Inf
"Nonda","Winter (Oct-Apr)","obs_na",742,0,0,425,309,742,742,97,530,0,0,2458,2458,2458,2458,2458,2458
"North Fraser","Summer (May-Sep)","mean",14.87,Inf,-Inf,1.17,NA,70.44,NA,0.85,332.24,-Inf,NA,0.3,0.24,0.34,12.77,NA,NA
"North Fraser","Summer (May-Sep)","max",29.07,Inf,37.97,29.81,-Inf,98.13,-Inf,2.32,89.68,-Inf,-Inf,0.51,0.56,0.51,16.76,-Inf,-Inf
"North Fraser","Summer (May-Sep)","min",4.13,-2.69,-Inf,0,Inf,31.15,Inf,0.36,270.22,-Inf,Inf,0.16,0.15,0.2,2.37,Inf,Inf
"North Fraser","Summer (May-Sep)","obs_na",55,0,0,257,392,55,392,55,55,0,392,99,101,51,51,392,392
"North Fraser","Winter (Oct-Apr)","mean",5.58,Inf,-Inf,3.08,NA,84.69,NA,0.78,328.02,-Inf,NA,0.41,0.32,0.45,2.1,NA,NA
"North Fraser","Winter (Oct-Apr)","max",17.81,Inf,22.22,6.4,-Inf,97.87,-Inf,1.33,86.7,-Inf,-Inf,0.51,0.56,0.51,11.2,-Inf,-Inf
"North Fraser","Winter (Oct-Apr)","min",0.17,-3.84,-Inf,0,Inf,39.05,Inf,0.34,274.05,-Inf,Inf,0.16,0.14,0.21,-0.36,Inf,Inf
"North Fraser","Winter (Oct-Apr)","obs_na",405,0,0,428,433,405,433,405,405,0,433,9,15,4,8,433,433
"Northern Dancer","Summer (May-Sep)","mean",6.04,3.25,9.39,1.78,NA,75.77,1.67,2.27,NA,10.52,204.67,NA,NA,NA,NA,NA,NA
"Northern Dancer","Summer (May-Sep)","max",17.19,15.37,22.23,23.4,-Inf,96.18,9.3,4.93,-Inf,14.09,400.46,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Northern Dancer","Summer (May-Sep)","min",-4.94,-7.48,-1.21,0,Inf,38.46,-7.88,0.57,Inf,5.03,15.31,Inf,Inf,Inf,Inf,Inf,Inf
"Northern Dancer","Summer (May-Sep)","obs_na",0,0,0,0,120,0,0,109,120,109,0,120,120,120,120,120,120
"Northern Dancer","Winter (Oct-Apr)","mean",-9.69,-11.88,-7.43,0.22,NA,81.14,-12.55,2.39,NA,10.41,70.4,NA,NA,NA,NA,NA,NA
"Northern Dancer","Winter (Oct-Apr)","max",5.39,2.69,8.22,10.6,-Inf,95.33,0.11,10,-Inf,25.16,293.53,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Northern Dancer","Winter (Oct-Apr)","min",-28.7,-30.76,-26.49,0,Inf,27.62,-31.28,0,Inf,0,3.68,Inf,Inf,Inf,Inf,Inf,Inf
"Northern Dancer","Winter (Oct-Apr)","obs_na",0,0,0,0,212,0,0,40,212,40,0,212,212,212,212,212,212
"Pink Mountain","Summer (May-Sep)","mean",6.9,Inf,-Inf,1.87,819.85,71.44,1.53,4.35,8.11,-Inf,204.74,NA,NA,NA,NA,NA,NA
"Pink Mountain","Summer (May-Sep)","max",25.48,Inf,29.84,51.6,850.25,100,12.91,12.52,89.6,31.96,421.35,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Pink Mountain","Summer (May-Sep)","min",-11.99,-13.66,-Inf,0,796.13,21,-14.8,0,270.32,-Inf,18.12,Inf,Inf,Inf,Inf,Inf,Inf
"Pink Mountain","Summer (May-Sep)","obs_na",285,0,0,138,185,285,285,426,1157,0,206,2183,2183,2183,2183,2183,2183
"Pink Mountain","Winter (Oct-Apr)","mean",-8.16,Inf,-Inf,0.14,812.01,75.23,-12.19,5.16,10.91,-Inf,76.21,NA,NA,NA,NA,NA,NA
"Pink Mountain","Winter (Oct-Apr)","max",13.91,Inf,16.11,10.2,841.44,99.99,5.97,14.13,89.85,36.17,322.7,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Pink Mountain","Winter (Oct-Apr)","min",-37.81,-38.71,-Inf,0,784.93,13.33,-40.77,0,270.13,-Inf,0.6,Inf,Inf,Inf,Inf,Inf,Inf
"Pink Mountain","Winter (Oct-Apr)","obs_na",113,0,0,207,318,112,113,636,1778,0,303,3150,3150,3150,3150,3150,3150
"Saxton Lake","Summer (May-Sep)","mean",12.51,4.96,19.17,1.34,929.1,73.01,6.85,1.51,1.96,-Inf,224.99,0.21,0.31,NA,NA,NA,NA
"Saxton Lake","Summer (May-Sep)","max",26.43,21.32,36.44,32.6,947.9,100,17.49,5.88,89.91,19.48,411.34,0.47,0.5,-Inf,-Inf,-Inf,-Inf
"Saxton Lake","Summer (May-Sep)","min",-0.15,-9.46,2.89,0,903.38,38.73,-8.82,0,270.01,-Inf,29.05,0.12,0.11,Inf,Inf,Inf,Inf
"Saxton Lake","Summer (May-Sep)","obs_na",0,0,0,0,0,135,135,85,137,0,0,1512,1524,2492,2492,2492,2492
"Saxton Lake","Winter (Oct-Apr)","mean",-3.27,-9.19,1.87,0.88,927.75,82.27,-6.28,1.28,348.01,6.63,81.14,0.29,0.4,NA,NA,NA,NA
"Saxton Lake","Winter (Oct-Apr)","max",15.79,12.16,25.56,35.8,958.25,100,9.88,5.56,89.92,23.93,315.94,0.48,0.5,-Inf,-Inf,-Inf,-Inf
"Saxton Lake","Winter (Oct-Apr)","min",-38.96,-47.33,-27.34,0,892.74,36.67,-41.82,0,270.02,0,2.38,0.1,0.16,Inf,Inf,Inf,Inf
"Saxton Lake","Winter (Oct-Apr)","obs_na",0,0,0,0,0,2,2,0,213,0,0,2123,2123,3202,3202,3202,3202
"Stone Creek","Summer (May-Sep)","mean",14.79,Inf,-Inf,1.22,913.81,64.79,NA,1.73,3.77,-Inf,199,0.13,0.15,0.09,11.86,NA,NA
"Stone Creek","Summer (May-Sep)","max",30.01,Inf,37.73,28.8,923.48,98.63,-Inf,5.14,88.97,-Inf,344.06,0.31,0.3,0.53,15.59,-Inf,-Inf
"Stone Creek","Summer (May-Sep)","min",4.43,-1.19,-Inf,0,896.35,29.08,Inf,0.85,270.18,-Inf,32.47,0.03,0.04,0.02,4.6,Inf,Inf
"Stone Creek","Summer (May-Sep)","obs_na",54,0,0,17,54,54,410,54,54,0,158,32,32,32,32,410,410
"Stone Creek","Winter (Oct-Apr)","mean",5.53,Inf,-Inf,1.02,912.15,78.18,NA,2.35,11.49,-Inf,91.19,0.17,0.18,0.19,2.84,NA,NA
"Stone Creek","Winter (Oct-Apr)","max",15.84,Inf,22.63,19.6,928.44,99.92,-Inf,5.16,78.15,-Inf,146.48,0.45,0.37,0.53,11.33,-Inf,-Inf
"Stone Creek","Winter (Oct-Apr)","min",-3.11,-4.71,-Inf,0,904.08,53.98,Inf,0.73,286.19,-Inf,55.36,0.04,0.06,0.01,0.14,Inf,Inf
"Stone Creek","Winter (Oct-Apr)","obs_na",404,0,0,195,404,404,429,404,404,0,422,1,1,1,1,429,429
"Sunbeam","Summer (May-Sep)","mean",6.89,Inf,-Inf,2.26,798.97,75.02,2.11,3.44,354.96,-Inf,201.24,NA,NA,NA,NA,NA,0.27
"Sunbeam","Summer (May-Sep)","max",25.71,Inf,30.24,44.8,812.29,100,10.94,12.25,89.91,49.31,415.72,-Inf,-Inf,-Inf,-Inf,-Inf,19.15
"Sunbeam","Summer (May-Sep)","min",-8.37,-9.68,-Inf,0,774.35,25.96,-12.21,0,270.24,-Inf,13.95,Inf,Inf,Inf,Inf,Inf,0
"Sunbeam","Summer (May-Sep)","obs_na",90,0,0,0,234,90,356,82,636,0,4,1729,1729,1729,1729,1729,1588
"Sunbeam","Winter (Oct-Apr)","mean",-6.31,Inf,-Inf,0.38,792.21,86.91,-8.37,4.03,346.04,-Inf,80.66,NA,NA,NA,NA,NA,27.1
"Sunbeam","Winter (Oct-Apr)","max",12.2,Inf,15.89,22,818.64,100,5.78,33.13,89.75,35.81,323.74,-Inf,-Inf,-Inf,-Inf,-Inf,61.57
"Sunbeam","Winter (Oct-Apr)","min",-32.91,-35.27,-Inf,0,763.62,11.78,-34.98,0,270.02,-Inf,5.87,Inf,Inf,Inf,Inf,Inf,0
"Sunbeam","Winter (Oct-Apr)","obs_na",107,0,0,0,226,107,510,106,864,0,68,2535,2535,2535,2535,2535,2338
"Thompson","Summer (May-Sep)","mean",12.06,6.07,18.18,1.17,914.06,66.41,5.05,0.92,4.83,-Inf,205.35,0.06,NA,NA,14.73,19.61,NA
"Thompson","Summer (May-Sep)","max",27.91,18.28,37.65,38.8,932.69,100,14.27,4.24,89.96,14.84,401.88,0.15,-Inf,-Inf,17.47,100,-Inf
"Thompson","Summer (May-Sep)","min",-0.31,-5.57,0.33,0,893.94,27.25,-8.85,0,270.01,-Inf,25.93,0.02,Inf,Inf,11.62,0,Inf
"Thompson","Summer (May-Sep)","obs_na",0,0,0,44,0,0,0,77,115,0,0,1041,2096,2096,2014,0,2096
"Thompson","Winter (Oct-Apr)","mean",-2.8,-6.62,1.34,0.75,910.45,80.81,-6.07,0.74,350.88,-Inf,73.05,0.07,NA,NA,NA,24.52,NA
"Thompson","Winter (Oct-Apr)","max",14.24,10.35,23.45,34.8,940.06,100,10.08,4.62,89.92,19.67,323.79,0.26,-Inf,-Inf,-Inf,100,-Inf
"Thompson","Winter (Oct-Apr)","min",-31.63,-36.46,-26.11,0,874.84,30.95,-35.76,0,270.03,-Inf,1.96,0,Inf,Inf,Inf,0,Inf
"Thompson","Winter (Oct-Apr)","obs_na",0,0,0,59,0,0,0,3,212,0,0,1526,3011,3011,3011,0,3011
"Willow-Bowron","Summer (May-Sep)","mean",13.06,Inf,-Inf,1.43,944.82,77.45,8.2,0.08,6.27,-Inf,129.19,NA,NA,NA,NA,36.91,NA
"Willow-Bowron","Summer (May-Sep)","max",26.82,Inf,38.76,29.8,963.65,100,18.56,0.79,89.97,7.05,324.73,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Willow-Bowron","Summer (May-Sep)","min",0.62,-6.3,-Inf,0,919.08,28.79,-7.75,0,270.08,-Inf,15.3,Inf,Inf,Inf,Inf,0,Inf
"Willow-Bowron","Summer (May-Sep)","obs_na",46,0,0,104,0,46,46,162,541,0,45,2339,2339,2339,2339,103,2339
"Willow-Bowron","Winter (Oct-Apr)","mean",-1.63,-6.48,3.12,0.98,943.8,83.27,-4.55,0.14,359.39,-Inf,35.05,NA,NA,NA,NA,28.8,NA
"Willow-Bowron","Winter (Oct-Apr)","max",16.88,12.55,25.91,43.4,975.98,100,11.25,1.35,89.98,9.28,256.71,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Willow-Bowron","Winter (Oct-Apr)","min",-38.24,-43.3,-33.22,0,908.1,33.25,-41.13,0,270.05,-Inf,0.92,Inf,Inf,Inf,Inf,0,Inf
"Willow-Bowron","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,145,792,0,0,2967,2967,2967,2967,213,2967
