"Site","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Atlin Monarch Mt","Dec","min",-26.83,-29.32,-25.1,0,803.8,39.4,-30.52,0,271.87,0,1.6
"Atlin Monarch Mt","Dec","obs_na",124,124,124,62,217,124,124,124,182,124,98
"Atlin School","Jan","mean",-9.83,-13.29,-6.6,0.53,NA,87.05,-11.31,0.19,1.24,2.66,5.66
"Atlin School","Jan","max",7.24,3.9,10.48,38,-Inf,98.78,2.36,1.29,89.58,9.65,15.35
"Atlin School","Jan","min",-31.4,-34.47,-29.39,0,Inf,59.45,-34.61,0,271.38,0,0.76
"Atlin School","Jan","obs_na",0,0,0,0,248,31,31,0,0,0,0
"Atlin School","Feb","mean",-9.89,-14.09,-5.37,0.35,NA,81.76,-12.37,0.27,0.07,3.04,19.45
"Atlin School","Feb","max",4.46,2.32,7.08,19.2,-Inf,97.57,1.06,1.17,89.2,8.16,42.07
"Atlin School","Feb","min",-33.58,-37.34,-27.86,0,Inf,62.08,-36.5,0,270.83,0,2.17
"Atlin School","Feb","obs_na",0,0,0,0,226,28,28,0,0,0,0
"Atlin School","Mar","mean",-6.79,-11.83,-1.09,0.16,NA,72.34,-10.84,0.38,12.71,3.49,49.24
"Atlin School","Mar","max",6.79,3.46,14.78,3.6,-Inf,93.48,1.11,1.38,88.85,8.35,92.28
"Atlin School","Mar","min",-22.16,-28.76,-17.49,0,Inf,40.27,-26.92,0.02,271.07,1.3,10.09
"Atlin School","Mar","obs_na",0,0,0,0,248,31,31,0,0,0,0
"Atlin School","Apr","mean",1.37,-3.23,6.47,0.11,NA,64.93,-5.03,0.47,18.96,4.21,93.96
"Atlin School","Apr","max",6.87,3.29,13.41,5.6,-Inf,97.05,4.38,1.63,89.32,7.79,174.58
"Atlin School","Apr","min",-10.52,-16.39,-3.55,0,Inf,41.3,-17.74,0,270.78,0,27.43
"Atlin School","Apr","obs_na",0,0,0,0,240,30,30,0,0,0,0
"Atlin School","May","mean",7.9,2.05,13.73,0.41,NA,60.31,-0.21,0.52,27.81,4.42,118.83
"Atlin School","May","max",16.43,11.55,25.78,10.2,-Inf,95.13,7.77,1.36,89.44,7.79,190.46
"Atlin School","May","min",0.23,-4.67,3.46,0,Inf,35.1,-8.38,0.06,274.65,1.86,35.77
"Atlin School","May","obs_na",0,0,0,0,248,31,31,0,0,0,0
"Atlin School","Jun","mean",11.17,5.52,16.64,0.41,NA,64.24,3.93,0.43,29.56,3.88,110.21
"Atlin School","Jun","max",19.8,13.44,27.25,16,-Inf,97.05,11.1,0.88,86.98,6.31,178.22
"Atlin School","Jun","min",4.3,-1.41,5.99,0,Inf,44.66,-3.37,0.07,271.72,1.67,24.06
"Atlin School","Jun","obs_na",6,6,6,6,240,36,36,6,6,6,6
"Atlin School","Jul","mean",13.06,7.92,18.24,0.59,NA,69.47,7.01,0.36,25.68,3.55,95.37
"Atlin School","Jul","max",19.88,13.53,29.95,14.8,-Inf,94.82,13.94,0.73,89.43,5.57,177.81
"Atlin School","Jul","min",6.88,-0.31,9.83,0,Inf,49.06,0.37,0,270.84,1.11,33.38
"Atlin School","Jul","obs_na",31,31,31,31,248,58,58,31,31,31,31
"Atlin School","Aug","mean",11.87,7.33,16.78,0.86,NA,71.88,6.54,0.32,18.42,3.62,67.08
"Atlin School","Aug","max",20.29,14,28.7,16.2,-Inf,98.88,12.5,0.94,88.92,8.53,115.56
"Atlin School","Aug","min",3.26,0.49,4.18,0,Inf,47.8,-0.25,0.02,270.79,1.86,1.85
"Atlin School","Aug","obs_na",22,22,22,22,247,34,34,22,22,22,22
"Atlin School","Sep","mean",7.65,3.65,12.16,0.99,NA,78,3.75,0.3,13.79,3.61,46.28
"Atlin School","Sep","max",16.87,12.7,24.64,19.4,-Inf,98.9,11.08,0.91,87.08,7.24,90.51
"Atlin School","Sep","min",1.04,-3.01,2.69,0,Inf,55.01,-4.08,0,271.29,1.3,11.7
"Atlin School","Sep","obs_na",0,0,0,0,240,30,30,0,0,0,0
"Atlin School","Oct","mean",1.73,-1.32,5.31,0.49,NA,81.09,-1.56,0.27,4.09,3.45,21.33
"Atlin School","Oct","max",10.35,7.9,16.7,10.8,-Inf,99.98,6.89,0.96,89.38,7.05,51.87
"Atlin School","Oct","min",-14.49,-19.06,-8.51,0,Inf,50.95,-17.57,0,272.83,0,5.14
"Atlin School","Oct","obs_na",0,0,0,0,248,31,31,0,0,0,0
"Atlin School","Nov","mean",-6.7,-9.75,-3.88,0.25,NA,85.56,-9.35,0.2,350.87,2.91,6.8
"Atlin School","Nov","max",4.28,2.58,6.52,8.8,-Inf,97.64,1.58,1.96,89.73,10.58,20.86
"Atlin School","Nov","min",-25.82,-28.7,-21.47,0,Inf,41.86,-28.62,0,270.84,0,0.86
"Atlin School","Nov","obs_na",0,0,0,0,240,30,30,0,0,0,0
"Atlin School","Dec","mean",-10.5,-13.58,-7.71,0.17,NA,86.24,-11.9,0.2,354.71,2.46,3.01
"Atlin School","Dec","max",5.87,3.27,9.09,7.2,-Inf,99.92,1.73,1.33,89.92,12.99,7.85
"Atlin School","Dec","min",-29.39,-32.45,-27.09,0,Inf,55.18,-31.82,0,272.61,0,0.65
"Atlin School","Dec","obs_na",0,0,0,0,248,31,31,0,0,0,0
"Blackhawk","Jan","mean",-7.35,-13.1,-2.06,0.34,901.33,81.9,-10.21,1.19,16.1,7.41,25.21
"Blackhawk","Jan","max",9.08,7.29,12.94,9,923.82,99.9,0.66,6.79,89.73,25.42,65.4
"Blackhawk","Jan","min",-33.68,-40.71,-26.14,0,873.73,45.56,-35.87,0,272.25,0,4.88
"Blackhawk","Jan","obs_na",0,0,0,0,0,0,0,0,48,0,0
"Blackhawk","Feb","mean",-8.27,-14.88,-2.38,0.21,900.95,78.72,-11.68,1.17,20.16,7.74,59.3
"Blackhawk","Feb","max",6.26,2.21,13.91,11,925.02,98.73,2.16,5.06,86.51,18.13,125.61
"Blackhawk","Feb","min",-29.74,-36.51,-21.32,0,875.85,53.88,-31.83,0,270.68,2.27,12.01
"Blackhawk","Feb","obs_na",0,0,0,0,0,0,0,0,56,0,0
"Blackhawk","Mar","mean",-5.09,-11.97,1.24,0.58,900.8,75.59,-9.32,1.15,19.08,7.41,112.49
"Blackhawk","Mar","max",7.8,3.54,17.23,10.4,918.17,98.99,1.68,5.18,89.32,18.92,210.88
"Blackhawk","Mar","min",-31.3,-42.32,-22.63,0,881.79,46.36,-36.16,0,280.14,0,11.23
"Blackhawk","Mar","obs_na",0,0,0,0,0,0,0,0,62,0,0
"Blackhawk","Apr","mean",1.56,-5.46,7.53,0.72,901.27,69.39,-4.39,1.43,24.84,8.73,166.53
"Blackhawk","Apr","max",15.98,5.46,25.96,13.6,915.85,100,3.23,5.87,88.33,20.04,276.6
"Blackhawk","Apr","min",-16.74,-27.77,-9.99,0,885.58,35.16,-20.62,0.06,270.84,3.02,27.86
"Blackhawk","Apr","obs_na",0,0,0,0,0,0,0,0,60,0,0
"Blackhawk","May","mean",9.04,-0.05,16.26,1.13,903.62,62.54,0.85,1.29,30.11,8.63,216.55
"Blackhawk","May","max",18.5,8.79,28.15,18.2,915.86,98.31,9.88,4.11,89.14,20.41,335.1
"Blackhawk","May","min",-0.9,-9.41,2.26,0,892.29,32.74,-11.4,0.1,275.18,3.78,34.88
"Blackhawk","May","obs_na",1,1,1,1,1,1,1,1,63,1,1
"Blackhawk","Jun","mean",12.38,4.58,18.66,2.62,901.75,67.48,5.42,1.48,19.07,9.01,222.77
"Blackhawk","Jun","max",20.85,13.67,30.77,56.8,913.31,99.66,12.52,4.53,84.58,15.61,341.03
"Blackhawk","Jun","min",2.71,-3.54,4.92,0,889.96,39.36,-4.46,0.21,271.07,3.71,27.28
"Blackhawk","Jun","obs_na",0,0,0,0,0,0,0,0,60,0,0
"Blackhawk","Jul","mean",14.71,6.06,21.79,1.68,904.53,69.06,7.96,1.2,7.2,8.29,219.87
"Blackhawk","Jul","max",22.07,13.86,33,39.2,916.28,97.73,13.9,3.43,89.32,14.84,353.38
"Blackhawk","Jul","min",5.79,-0.82,8.77,0,894.08,37.23,1.65,0.06,271.44,3.53,39.15
"Blackhawk","Jul","obs_na",0,0,0,0,0,0,0,0,62,0,0
"Blackhawk","Aug","mean",13.75,5.28,20.89,1.73,903.92,71.53,7.75,1.11,27.14,8.09,181.55
"Blackhawk","Aug","max",20.87,18.01,31.41,53.01,917.97,99.99,13.94,4.3,87.12,17.25,298.69
"Blackhawk","Aug","min",5.82,-3.75,7.9,0,887.47,37,0.91,0.03,270.66,3.27,36.39
"Blackhawk","Aug","obs_na",0,0,0,0,0,0,0,0,51,0,0
"Blackhawk","Sep","mean",8.08,0.48,15.14,1.18,902.88,75.96,3.24,1.03,25.71,7.95,126.52
"Blackhawk","Sep","max",17.73,9.44,30.29,26.8,919.5,99.69,10.43,3.97,89.44,16.7,225.51
"Blackhawk","Sep","min",-3.84,-8.86,-2.48,0,879.11,40.9,-5.51,0,271.96,0.25,14.05
"Blackhawk","Sep","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Blackhawk","Oct","mean",1.86,-3.66,7.36,1.27,901.57,81.59,-1.53,0.97,14.62,7.32,64.94
"Blackhawk","Oct","max",13.18,9.16,20.89,23,918.48,100,7.31,4.18,88.09,21.34,138.68
"Blackhawk","Oct","min",-18.35,-27.71,-13.43,0,880.08,30.69,-19.71,0,272.78,0,8.99
"Blackhawk","Oct","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Blackhawk","Nov","mean",-6.99,-13.02,-1.25,0.39,899.87,85.53,-9.25,0.84,15.89,6.26,32.79
"Blackhawk","Nov","max",6.33,2.29,16.53,14,923.26,99.77,3.1,5.56,87.8,20.97,78.74
"Blackhawk","Nov","min",-28.88,-37.34,-22.88,0,881.29,37.74,-30.85,0,270.38,0,4.05
"Blackhawk","Nov","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Blackhawk","Dec","mean",-11.23,-17.18,-5.74,0.14,900.41,83.56,-13.67,1,25.81,6.63,19.84
"Blackhawk","Dec","max",6.9,1.29,12.78,9.6,928.41,98.08,0.45,4.96,89.97,22.66,48.84
"Blackhawk","Dec","min",-35.55,-40.06,-27.21,0,881.1,38.98,-38.1,0,270.49,0,2.22
"Blackhawk","Dec","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Boulder Creek","Jan","mean",-5.3,-7.98,-2.46,1.36,965.09,94.91,-6.02,0.23,12.65,2.64,17.78
"Boulder Creek","Jan","max",4,0.93,11.38,22.8,985.9,100,3.18,1.39,89.98,15.21,69.73
"Boulder Creek","Jan","min",-32.48,-36.46,-24.3,0,931.48,54.63,-35.87,0,270.5,0,2.54
"Boulder Creek","Jan","obs_na",31,31,31,62,31,31,31,100,62,100,43
"Boulder Creek","Feb","mean",-5.28,-9.25,-0.37,0.96,965.58,89.06,-7.1,0.31,7.73,3.39,53.82
"Boulder Creek","Feb","max",4.02,0.73,10.25,16.8,991.69,100,3.08,1.51,89.96,11.32,114.47
"Boulder Creek","Feb","min",-23.33,-30.17,-15.36,0,936.67,43.65,-26.88,0,270.02,0,3.37
"Boulder Creek","Feb","obs_na",28,28,28,57,28,30,30,56,56,56,56
"Boulder Creek","Mar","mean",0.07,-4.47,5.48,0.72,960.29,78.8,-4.06,0.57,10.84,5.16,100.7
"Boulder Creek","Mar","max",7.79,2.46,20.95,9.6,980.05,100,5.27,1.79,89.43,11.87,219.72
"Boulder Creek","Mar","min",-17.29,-26.11,-14.1,0,937.13,26,-27.24,0,270.03,0,23.64
"Boulder Creek","Mar","obs_na",31,31,31,62,31,42,42,62,62,62,62
"Boulder Creek","Apr","mean",4.89,-0.88,11.35,0.92,962.61,76.89,-0.1,0.59,353.05,5.39,155.37
"Boulder Creek","Apr","max",13.82,9.03,24.07,12.6,979.81,100,8.69,1.89,89.75,12.06,274.41
"Boulder Creek","Apr","min",-2.96,-9.89,0.55,0,944.11,48.65,-10.75,0,270.14,0.93,39.42
"Boulder Creek","Apr","obs_na",30,30,30,60,30,38,38,60,60,60,60
"Boulder Creek","May","mean",10.54,3.44,17.62,1.01,965.24,73.09,4.43,0.56,353.12,5.25,221.38
"Boulder Creek","May","max",18.3,11.77,28.72,21.4,977.02,99.67,12.95,1.46,89.5,8.91,341.4
"Boulder Creek","May","min",2.01,-3.85,5.31,0,950.83,39.81,-7.2,0.05,271.43,2.04,36.96
"Boulder Creek","May","obs_na",31,31,31,62,31,47,47,62,62,62,62
"Boulder Creek","Jun","mean",13.09,6.35,19.64,1.11,964.39,74.68,7.69,0.51,351.73,5.15,238.45
"Boulder Creek","Jun","max",21.75,13.32,31.92,24.4,976.83,100,14.86,1.08,89.33,14.1,364.31
"Boulder Creek","Jun","min",6.46,-1.97,10.6,0,948.71,50.94,-0.22,0.01,270.73,2.23,58.39
"Boulder Creek","Jun","obs_na",46,46,45,60,45,51,51,75,75,75,76
"Boulder Creek","Jul","mean",15.31,8.95,21.89,0.98,966.17,78.35,10.74,0.43,350.93,4.5,213.97
"Boulder Creek","Jul","max",23.98,16,35.85,12.4,978.95,100,15.6,0.91,89.04,8.72,368.27
"Boulder Creek","Jul","min",8.42,1.29,12.16,0,954.2,53.51,5.28,0.06,270.03,2.04,53.28
"Boulder Creek","Jul","obs_na",88,88,88,107,88,88,88,100,100,100,127
"Boulder Creek","Aug","mean",14.74,8.02,21.89,1.44,965.62,79.07,10.3,0.43,342.47,4.27,183.61
"Boulder Creek","Aug","max",21.61,13.88,32.2,32.8,978.22,100,15.26,0.82,89.15,7.79,293.85
"Boulder Creek","Aug","min",8.16,-0.15,12.27,0,945.11,46.61,3.58,0,271.77,1.11,33.38
"Boulder Creek","Aug","obs_na",93,93,93,124,93,93,93,93,93,93,139
"Boulder Creek","Sep","mean",9.57,4.76,15.6,2.24,964.83,90.29,7.77,0.35,343.18,3.77,108.41
"Boulder Creek","Sep","max",19.41,14.85,29.67,34,981.2,100,15.72,0.98,88.44,8.16,240.67
"Boulder Creek","Sep","min",2.19,-3.72,4.99,0,948.45,57.85,-4.98,0,271.3,0.74,30.3
"Boulder Creek","Sep","obs_na",90,90,90,120,90,90,90,90,90,90,148
"Boulder Creek","Oct","mean",4.36,1.08,8.58,2.56,962.38,94.38,3.41,0.38,354.52,3.79,50.81
"Boulder Creek","Oct","max",11.91,10.21,16.38,49.6,982.21,100,11.93,1.04,89.97,8.16,152.13
"Boulder Creek","Oct","min",-1.61,-5.95,0.69,0,936.43,66.73,-3.96,0,270.3,1.11,2.07
"Boulder Creek","Oct","obs_na",60,60,59,90,59,60,60,78,78,78,91
"Boulder Creek","Nov","mean",-2.36,-4.86,0.41,1.23,962.38,94.83,-3.15,0.26,17.29,3.15,23.48
"Boulder Creek","Nov","max",7.48,5.33,10.99,18.8,986.04,100,5.9,1.13,89.38,8.35,67.69
"Boulder Creek","Nov","min",-19.51,-22.6,-15.36,0,935,62.71,-19.9,0,270.38,0,1.54
"Boulder Creek","Nov","obs_na",30,30,30,60,30,30,30,60,60,60,33
"Boulder Creek","Dec","mean",-6.46,-9.3,-3.99,0.71,965.64,96.43,-6.94,0.14,13.5,2.04,9.42
"Boulder Creek","Dec","max",2.84,0.29,4.57,17.2,997.32,100,2.7,0.9,89.9,10.02,21.91
"Boulder Creek","Dec","min",-23.43,-26.91,-19.15,0,935.37,69.44,-25.11,0,270.15,0,1.55
"Boulder Creek","Dec","obs_na",31,31,31,62,31,31,31,135,62,135,31
"Bowron Pit","Aug","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowron Pit","Aug","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Bowron Pit","Aug","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Bowron Pit","Aug","obs_na",3,3,3,3,3,3,3,3,3,3,3
"Bowron Pit","Sep","mean",5.41,-0.61,11.7,0.46,935.31,78.52,1.42,0.23,325.14,5.01,106.21
"Bowron Pit","Sep","max",10.12,7.39,16.15,3.8,940.96,89.1,8.03,1.13,76.75,9.06,153.89
"Bowron Pit","Sep","min",0.35,-7.67,7.39,0,929.81,64.95,-5.4,0.02,271.08,2.52,46.28
"Bowron Pit","Sep","obs_na",13,13,12,12,12,13,13,12,12,12,13
"Bowron Pit","Oct","mean",3.55,-2.46,11.06,0.84,934.37,79.93,-0.14,0.18,334.95,4.72,83.72
"Bowron Pit","Oct","max",9.22,4.19,19.89,9.6,944.8,96.79,5.01,0.69,89.95,11.07,143.01
"Bowron Pit","Oct","min",-2.37,-10.58,2.64,0,922.47,56.57,-9.14,0,276.4,2.01,33
"Bowron Pit","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Bulkley","Jan","mean",-6.43,-10.52,-2.77,0.9,944.64,87,-8.34,0.31,342.61,3.04,13.08
"Bulkley","Jan","max",6.73,5.39,8.63,20.2,965.96,100,2.6,1.38,89.6,8.35,33.3
"Bulkley","Jan","min",-31.53,-36.46,-26.1,0,907.78,52.6,-34.7,0,271.2,0,3.1
"Bulkley","Jan","obs_na",35,35,35,34,34,35,35,34,34,34,66
"Bulkley","Feb","mean",-5.57,-10.4,-0.71,0.72,944.22,84.67,-7.96,0.29,350.61,3.14,27.6
"Bulkley","Feb","max",8.64,3.93,13.31,19.2,968.77,100,3.1,1.61,88.3,9.09,53.5
"Bulkley","Feb","min",-26.76,-35.05,-18.05,0,917.92,46.92,-29.6,0,270.3,0,3.8
"Bulkley","Feb","obs_na",56,56,56,56,56,56,56,56,56,56,85
"Bulkley","Mar","mean",-0.68,-6.54,5.38,0.73,941.15,75.75,-5.21,0.34,2.91,3.58,60.62
"Bulkley","Mar","max",9.33,4.57,21.8,15.2,961.28,100,2.6,1.17,89.6,8.91,197.2
"Bulkley","Mar","min",-20.86,-27.21,-16.01,0,912.8,39.25,-25.7,0,271.5,0,12.5
"Bulkley","Mar","obs_na",62,62,62,62,62,62,62,62,62,62,67
"Bulkley","Apr","mean",4.3,-2.37,11.18,1.14,942.69,71,-1.85,0.37,6.42,3.87,108.53
"Bulkley","Apr","max",16.78,6.99,26.21,16,958.39,100,6.8,1.48,88.4,7.42,241.1
"Bulkley","Apr","min",-5.83,-13.43,-2.43,0,923.77,28.25,-17.3,0,270.6,0.56,32.6
"Bulkley","Apr","obs_na",51,51,50,50,50,51,52,50,50,50,50
"Bulkley","May","mean",10.73,2.42,18.53,1.18,944.52,68.14,3.41,0.36,5.35,4.05,166.78
"Bulkley","May","max",19.51,11.27,30.09,19,958.78,100,11.5,1.19,89.9,7.98,301.7
"Bulkley","May","min",3.17,-6.74,5.81,0,929.03,32.17,-10.1,0.01,271.1,1.67,48.5
"Bulkley","May","obs_na",31,31,31,31,31,42,42,31,31,31,31
"Bulkley","Jun","mean",13.75,5.97,21.08,1.56,943.54,70.61,7.21,0.31,5.76,3.75,190.28
"Bulkley","Jun","max",21.38,13.32,32.9,19.2,955.52,100,14.9,1,89.7,7.79,322.6
"Bulkley","Jun","min",5.99,-1.97,7.62,0,929.02,45.94,-1.9,0,270.9,1.11,43.8
"Bulkley","Jun","obs_na",5,5,2,1,1,30,30,1,1,1,7
"Bulkley","Jul","mean",16.21,8.31,24.15,1.55,945.77,72.99,9.99,0.25,10.24,3.48,171.61
"Bulkley","Jul","max",23.37,14.47,35.42,22,957.11,100,15.2,0.94,89.3,7.24,295.4
"Bulkley","Jul","min",9.41,0.29,10.2,0,935.64,43.05,1.7,0,271.1,0.93,50
"Bulkley","Jul","obs_na",6,6,1,1,1,28,28,1,1,1,5
"Bulkley","Aug","mean",14.99,7.43,23.41,1.33,944.77,75.48,9.5,0.23,15.22,3.35,123.59
"Bulkley","Aug","max",23.65,15.8,34.52,27.6,957.08,99.41,15.6,0.86,90,7.24,271.3
"Bulkley","Aug","min",7.7,0.52,10.21,0,929.43,51.9,3.3,0,271.7,0.19,29.6
"Bulkley","Aug","obs_na",9,9,8,0,0,12,12,0,0,0,10
"Bulkley","Sep","mean",9.87,3.63,17.45,1.41,945.13,82.45,6.31,0.22,2.65,3.18,69.15
"Bulkley","Sep","max",20.33,12.03,30.95,18.4,961.08,100,14.1,0.94,89.8,7.98,184.4
"Bulkley","Sep","min",0.47,-5.48,5.95,0,919.27,45.55,-4.9,0,270.8,1.3,21.5
"Bulkley","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,5
"Bulkley","Oct","mean",4.39,-0.51,9.83,1.24,944.19,83.64,1.39,0.3,356.28,3.48,34.18
"Bulkley","Oct","max",16.3,12.12,24.79,21.8,962.28,100,10,1.25,89,9.83,76.8
"Bulkley","Oct","min",-13.13,-19.49,-6.81,0,921.28,31.69,-14.6,0,271,0,7.5
"Bulkley","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,31
"Bulkley","Nov","mean",-1.71,-5.59,1.8,1.16,942.61,87.24,-3.75,0.32,350.09,3.25,16.91
"Bulkley","Nov","max",14.13,8.79,18.94,16.6,965.4,100,6.9,1.45,88.9,7.79,42.3
"Bulkley","Nov","min",-28.41,-32.6,-21.37,0,917.32,46.27,-30.6,0,270.1,0,3.6
"Bulkley","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,30
"Bulkley","Dec","mean",-7.78,-11.88,-4.37,0.57,945.02,87.84,-9.54,0.27,349.04,2.59,8.99
"Bulkley","Dec","max",7.79,5.4,11.76,22.2,969.24,100,3.1,1.51,89.6,8.53,21.1
"Bulkley","Dec","min",-33.59,-37.96,-27.06,0,918.49,53.21,-36.3,0,271.2,0,1.8
"Bulkley","Dec","obs_na",9,9,9,9,9,9,9,9,9,9,40
"Canoe","Jan","mean",-8.52,-10.69,-6.45,0.01,772.15,86.39,-10.68,5.31,339.25,12.68,30.94
"Canoe","Jan","max",2.25,0.11,4.04,1.2,786.48,97.6,-1.4,14.93,89.6,24.43,84.62
"Canoe","Jan","min",-25.14,-26.79,-23.89,0,754.82,15,-27.4,0,270.1,0,7.33
"Canoe","Jan","obs_na",62,62,62,62,63,62,62,118,118,118,62
