"Site","years","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Crystal Lake","2013","Aug","min",10.6,-0.51,14.79,0,921.23,60.99,4.47,0.67,284.22,5.01,56.8
"Crystal Lake","2013","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2013","Sep","mean",11.46,3.88,19.58,2,922.99,76.48,6.66,1.16,23.3,7.25,163.46
"Crystal Lake","2013","Sep","max",17.83,9.36,29.41,15.4,933.7,91.51,11.63,2.56,86.92,13.36,246.19
"Crystal Lake","2013","Sep","min",2.9,-4.05,9.56,0,902.65,59.12,0.17,0.48,330.04,3.71,33.95
"Crystal Lake","2013","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2013","Oct","mean",3.8,-0.65,8.71,2.27,931.04,88.65,1.98,0.93,9.68,5.76,67.89
"Crystal Lake","2013","Oct","max",8.71,6.15,15.51,14.8,940.86,97.4,7.77,1.94,81.67,10.2,119.98
"Crystal Lake","2013","Oct","min",-3.33,-9.78,2.98,0,914.13,74.85,-6.55,0.22,312.38,2.78,18.95
"Crystal Lake","2013","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2013","Nov","mean",-4.02,-7.74,-1.11,1.71,927.68,90.19,-5.44,0.96,351.46,5.26,34.97
"Crystal Lake","2013","Nov","max",2.85,0.93,6.1,17.2,943.06,96.96,1.97,2.43,76.92,8.91,87.38
"Crystal Lake","2013","Nov","min",-20.87,-28.92,-16.41,0,907.38,78.43,-23.07,0.22,285.65,1.3,7.79
"Crystal Lake","2013","Nov","obs_na",0,0,0,0,0,0,0,4,4,4,0
"Crystal Lake","2013","Dec","mean",-8.32,-12.95,-4.75,3.15,929.24,88.76,-9.86,1.01,32.17,16.14,20.53
"Crystal Lake","2013","Dec","max",2.09,1.04,3.56,41.8,943.97,96.08,1.29,2.14,72.4,46.94,47.74
"Crystal Lake","2013","Dec","min",-22.63,-30.97,-18.52,0,916.24,76.44,-24.78,0.22,334.73,4.45,4.04
"Crystal Lake","2013","Dec","obs_na",4,4,4,4,4,4,4,27,27,27,5
"Crystal Lake","2014","Jan","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystal Lake","2014","Jan","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Crystal Lake","2014","Jan","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Crystal Lake","2014","Jan","obs_na",31,31,31,31,31,31,31,31,31,31,31
"Crystal Lake","2014","Feb","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystal Lake","2014","Feb","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Crystal Lake","2014","Feb","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Crystal Lake","2014","Feb","obs_na",28,28,28,28,28,28,28,28,28,28,28
"Crystal Lake","2014","Mar","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystal Lake","2014","Mar","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Crystal Lake","2014","Mar","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Crystal Lake","2014","Mar","obs_na",31,31,31,31,31,31,31,31,31,31,31
"Crystal Lake","2014","Apr","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystal Lake","2014","Apr","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Crystal Lake","2014","Apr","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Crystal Lake","2014","Apr","obs_na",30,30,30,30,30,30,30,30,30,30,30
"Crystal Lake","2014","May","mean",10.65,2.78,17.51,0.56,927.33,68.08,4.56,NA,NA,NA,247.83
"Crystal Lake","2014","May","max",13.54,6.97,21.01,1.6,931.1,81.61,6.23,-Inf,-Inf,-Inf,292.08
"Crystal Lake","2014","May","min",8.58,-0.68,12.24,0,922.95,55.97,1.6,Inf,Inf,Inf,171.86
"Crystal Lake","2014","May","obs_na",23,23,22,22,22,22,22,31,31,31,23
"Crystal Lake","2014","Jun","mean",12.85,3.53,19.91,0.95,925.55,62.98,4.84,1.09,NA,8.47,275.04
"Crystal Lake","2014","Jun","max",18.79,9.56,27.6,13,934.17,82.73,11.03,2.99,-Inf,12.59,382.65
"Crystal Lake","2014","Jun","min",5.85,-3.39,12.24,0,915.4,48.55,0.8,0.45,Inf,5.04,134.42
"Crystal Lake","2014","Jun","obs_na",0,0,0,0,0,0,0,5,30,5,0
"Crystal Lake","2014","Jul","mean",17.17,8.11,24.85,0.85,928.57,61.72,8.26,0.93,NA,7.94,270.29
"Crystal Lake","2014","Jul","max",23.06,13.14,35,6.8,934.96,83.47,11.85,3,-Inf,15.11,368.9
"Crystal Lake","2014","Jul","min",12.9,2.18,15.2,0,919.74,41.09,3.25,0.26,Inf,4.78,60.88
"Crystal Lake","2014","Jul","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2014","Aug","mean",15.29,6.01,23.78,1,928.65,66.42,7.78,0.73,NA,6.9,216.07
"Crystal Lake","2014","Aug","max",21.01,15.44,32.92,8.4,935.51,89.66,13.18,1.63,-Inf,12.34,316.66
"Crystal Lake","2014","Aug","min",9.54,-2.04,13.67,0,920.54,51.84,2.49,0.35,Inf,4.03,53.85
"Crystal Lake","2014","Aug","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2014","Sep","mean",9.88,2.16,17.48,2.12,927.45,77.71,5.65,0.61,NA,6.5,148.52
"Crystal Lake","2014","Sep","max",16.72,10.49,25.26,15,943.13,91.91,10.29,1.97,-Inf,13.09,229.48
"Crystal Lake","2014","Sep","min",2.27,-5.95,7.19,0,916.9,60.9,-4.1,0.21,Inf,4.53,43.11
"Crystal Lake","2014","Sep","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2014","Oct","mean",6.32,2.19,10.21,4.96,921.85,87.27,4.23,0.62,NA,6.51,64.55
"Crystal Lake","2014","Oct","max",13.05,9.31,18.08,25.2,936.74,96.16,9.16,1.6,-Inf,9.57,135.25
"Crystal Lake","2014","Oct","min",0.19,-3.96,2.69,0,911.71,71.28,-0.73,0.02,Inf,3.53,8.27
"Crystal Lake","2014","Oct","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2014","Nov","mean",-6.29,-10.38,-2.24,1.54,929.52,89.45,-7.73,0.39,NA,4.63,31.73
"Crystal Lake","2014","Nov","max",4.39,2.88,7.37,13,946.47,96.56,3.89,2.33,-Inf,10.07,75.5
"Crystal Lake","2014","Nov","min",-28.54,-34.76,-20.17,0,908.85,67.43,-30.75,0,Inf,1.26,8.11
"Crystal Lake","2014","Nov","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2014","Dec","mean",-5.39,-9.26,-2.4,1.35,925.44,91.75,-6.5,0.22,NA,4.06,21.01
"Crystal Lake","2014","Dec","max",5.23,2.45,8.97,17.4,955.4,97.71,2.77,1.37,-Inf,12.84,51.03
"Crystal Lake","2014","Dec","min",-22.95,-30.2,-15.87,0,905.02,81.34,-24.95,0,Inf,0,6.44
"Crystal Lake","2014","Dec","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2015","Jan","mean",-5.25,-8.99,-2.57,1.7,931.03,91.51,-6.38,0.61,NA,5.4,21.56
"Crystal Lake","2015","Jan","max",3.59,1.37,5.05,19.8,944.64,97.88,2.38,1.78,-Inf,9.07,56.08
"Crystal Lake","2015","Jan","min",-20.46,-23.67,-16.62,0,913.88,74.71,-22.4,0,Inf,1.76,3.26
"Crystal Lake","2015","Jan","obs_na",0,0,0,0,0,0,0,1,31,1,0
"Crystal Lake","2015","Feb","mean",-4.99,-9.9,-0.22,1.27,929.92,85.48,-7.22,0.4,NA,4.97,69.3
"Crystal Lake","2015","Feb","max",3.66,2.02,7.49,14.2,943.2,97,3.23,1.22,-Inf,8.31,137.59
"Crystal Lake","2015","Feb","min",-17.93,-24,-12.98,0,901.11,60.6,-19.58,0.04,Inf,2.01,14.36
"Crystal Lake","2015","Feb","obs_na",0,0,0,0,0,0,0,10,28,10,0
"Crystal Lake","2015","Mar","mean",0.93,-4.88,6.11,3.11,926.93,78.35,-2.81,0.66,NA,6.62,109.88
"Crystal Lake","2015","Mar","max",7.92,4.14,12.82,15.6,937.23,97.27,3.82,2.49,-Inf,15.36,184.62
"Crystal Lake","2015","Mar","min",-13.84,-25.38,-3.75,0,911.33,58.67,-19.31,0,Inf,2.27,44.99
"Crystal Lake","2015","Mar","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2015","Apr","mean",4.15,-2.72,10.62,0.85,925.12,67.75,-1.96,1.1,NA,8.6,181.93
"Crystal Lake","2015","Apr","max",10.2,4.04,19.58,5.8,939.15,87.99,5.39,2.7,-Inf,17.88,271.92
"Crystal Lake","2015","Apr","min",0.66,-7.93,6.18,0,912.46,50.73,-8.22,0.27,Inf,4.53,93.32
"Crystal Lake","2015","Apr","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2015","May","mean",11.64,1.94,20.14,1.55,927.27,61.68,2.93,0.99,NA,8.78,268.89
"Crystal Lake","2015","May","max",16.7,7.77,27.16,14.4,932.78,85.9,10.2,2.34,-Inf,13.6,341.39
"Crystal Lake","2015","May","min",2.68,-6.77,6.2,0,920.9,32.87,-4.16,0.5,Inf,6.04,118.43
"Crystal Lake","2015","May","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2015","Jun","mean",14.54,5.89,21.85,2.79,928.23,68.31,7.69,0.99,NA,8.49,264.35
"Crystal Lake","2015","Jun","max",19.97,12.44,30.12,26.8,935.35,92.75,13.79,2.61,-Inf,13.6,375.15
"Crystal Lake","2015","Jun","min",7.65,-1.24,10.57,0,921.68,46.94,1.09,0.19,Inf,3.78,90.88
"Crystal Lake","2015","Jun","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2015","Jul","mean",16.13,7.85,23.09,1.57,926.61,67.09,8.87,0.97,NA,8,262.04
"Crystal Lake","2015","Jul","max",22.94,14.36,31.2,14.4,933.59,88.52,13,2.03,-Inf,14.86,373.9
"Crystal Lake","2015","Jul","min",11.86,2.02,15.8,0,918.47,34.39,2.03,0.4,Inf,5.54,125.15
"Crystal Lake","2015","Jul","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2015","Aug","mean",13.63,5.18,21.03,1.43,926.07,71.77,7.81,0.81,NA,7.29,208.99
"Crystal Lake","2015","Aug","max",17.53,10.39,25.79,6.2,933.87,92.3,11.88,1.81,-Inf,10.83,298.59
"Crystal Lake","2015","Aug","min",9.72,-2.39,15.41,0,912.12,48.05,3.7,0.25,Inf,4.28,66.55
"Crystal Lake","2015","Aug","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2015","Sep","mean",8.12,2.25,14.23,2.53,925.41,82.08,4.92,0.6,NA,6.76,133.6
"Crystal Lake","2015","Sep","max",15,9.41,25.07,18.2,933.6,95.15,10.76,1.64,-Inf,13.85,226.03
"Crystal Lake","2015","Sep","min",3.43,-4.38,8.62,0,914.74,71.79,0.3,0.03,Inf,3.27,41.81
"Crystal Lake","2015","Sep","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2015","Oct","mean",4.84,-0.06,10.15,2.34,926.69,86.74,2.6,0.38,NA,5.41,72.05
"Crystal Lake","2015","Oct","max",12.71,7.62,19.51,19.6,939.33,96.4,9.92,1.42,-Inf,12.84,160.56
"Crystal Lake","2015","Oct","min",-2.03,-6.39,0.27,0,908.79,67.85,-2.49,0,Inf,2.01,8.47
"Crystal Lake","2015","Oct","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2015","Nov","mean",-6.11,-11.1,-1.33,0.87,926.29,88.52,-7.71,0.54,NA,5.1,36.29
"Crystal Lake","2015","Nov","max",2.71,0.69,6,10.4,945.26,97.8,1.65,1.85,-Inf,11.33,65.35
"Crystal Lake","2015","Nov","min",-19.55,-25.38,-9.41,0,908.02,77.54,-21.6,0,Inf,0,10.3
"Crystal Lake","2015","Nov","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2015","Dec","mean",-6.53,-11.82,-3.07,1.08,919.48,91.03,-7.78,0.33,NA,4.5,17.5
"Crystal Lake","2015","Dec","max",2.66,0.77,5.49,18,945.56,96.6,0.68,1.14,-Inf,9.82,47.33
"Crystal Lake","2015","Dec","min",-17.74,-27.96,-10.65,0,906.82,82.87,-19.34,0,Inf,0,5.4
"Crystal Lake","2015","Dec","obs_na",0,0,0,0,0,0,0,16,31,16,0
"Crystal Lake","2016","Jan","mean",-7.44,-11.85,-3.54,2.24,924.39,91.44,-8.6,0.19,NA,2.99,28.46
"Crystal Lake","2016","Jan","max",2.87,-0.03,5.39,29.2,943.54,97.89,1.05,1.29,-Inf,8.31,53.27
"Crystal Lake","2016","Jan","min",-24.38,-30.48,-15.83,0,912.37,83.46,-26.42,0,Inf,0,7.85
"Crystal Lake","2016","Jan","obs_na",0,0,0,0,0,0,0,10,31,10,0
"Crystal Lake","2016","Feb","mean",-1.18,-5.89,3.4,2.27,925.69,88.92,-2.88,0.48,NA,5.32,62.91
"Crystal Lake","2016","Feb","max",2.62,1.75,7.09,23.2,939.62,96.69,1.21,2.14,-Inf,12.09,138.42
"Crystal Lake","2016","Feb","min",-11.55,-19.42,-3.07,0,900.96,79.35,-13.16,0,Inf,0,13.21
"Crystal Lake","2016","Feb","obs_na",0,0,0,0,0,0,0,0,29,0,0
"Crystal Lake","2016","Mar","mean",1.1,-4.8,7.43,1.1,921.28,78.22,-2.73,0.59,NA,6.23,125.14
"Crystal Lake","2016","Mar","max",5.02,0.08,17.53,9,939.73,94.08,0.07,1.92,-Inf,11.08,228.79
"Crystal Lake","2016","Mar","min",-4.72,-13.58,1.21,0,904.79,57.75,-8.45,0.08,Inf,3.02,56.45
"Crystal Lake","2016","Mar","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2016","Apr","mean",6.71,-1.38,14.24,1.55,926.71,69.52,0.53,0.84,NA,8.06,198.78
"Crystal Lake","2016","Apr","max",15.66,6.74,24.63,15.6,936.37,93.79,4.53,2.19,-Inf,17.12,314.58
"Crystal Lake","2016","Apr","min",1.76,-6.9,4.3,0,919.84,44.61,-3.65,0.17,Inf,4.03,43.69
"Crystal Lake","2016","Apr","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2016","May","mean",10.16,0.43,17.51,1.54,927.47,60.41,1.45,1.06,NA,8.29,242.96
"Crystal Lake","2016","May","max",15.34,5.46,25.67,18.6,936.24,88.35,5.61,2.56,-Inf,15.61,356.4
"Crystal Lake","2016","May","min",5.18,-6.67,9.76,0,918.19,30.79,-4.72,0.41,Inf,5.29,83.63
"Crystal Lake","2016","May","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2016","Jun","mean",13.33,5.78,20.14,2.99,927.28,72.2,7.53,0.83,NA,7.36,253.18
"Crystal Lake","2016","Jun","max",18.67,9.85,29.17,34.4,936.04,95.24,12.51,1.58,-Inf,12.84,375.93
"Crystal Lake","2016","Jun","min",4.85,-0.09,8.27,0,917.62,50.79,3.4,0.27,Inf,4.03,45.98
"Crystal Lake","2016","Jun","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2016","Jul","mean",15.08,8.7,21.29,4.06,927.96,77.36,10.59,0.72,NA,7.06,223.19
"Crystal Lake","2016","Jul","max",19.28,13.33,27.41,17.4,934.88,94.45,13.52,1.5,-Inf,12.34,335.04
"Crystal Lake","2016","Jul","min",9.32,2.29,11.61,0,921.95,62.03,7.62,0.03,Inf,2.77,109.63
"Crystal Lake","2016","Jul","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2016","Aug","mean",15.31,7.34,22.84,1.91,928.77,73.65,9.87,0.71,NA,7.02,218.23
"Crystal Lake","2016","Aug","max",19.7,14.75,27.88,14.4,938.39,94.04,13.62,1.45,-Inf,10.83,310.67
"Crystal Lake","2016","Aug","min",9.82,0.5,13.06,0,919.26,58.51,4.6,0.09,Inf,3.53,58.69
"Crystal Lake","2016","Aug","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2016","Sep","mean",8.07,2.24,14.26,2.89,928.04,85.62,5.55,0.54,NA,6.19,127.75
"Crystal Lake","2016","Sep","max",12.04,8.79,21.7,14.2,935.92,94.7,9.27,1.35,-Inf,14.35,217.54
"Crystal Lake","2016","Sep","min",2.77,-4.05,9.85,0,915.38,72.68,-0.22,0.14,Inf,3.27,30.62
"Crystal Lake","2016","Sep","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2016","Oct","mean",1.51,-1.4,5.14,2.85,922.91,91.06,0.11,0.28,NA,4.43,56.06
"Crystal Lake","2016","Oct","max",5.53,2.77,14.15,16.8,935.73,98.04,3.7,0.82,-Inf,10.07,137.8
"Crystal Lake","2016","Oct","min",-3.34,-10.79,-0.65,0,904.81,78.71,-6.44,0,Inf,0,12.44
"Crystal Lake","2016","Oct","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2016","Nov","mean",1.64,-1.44,4.16,2.23,920.72,89.81,-0.02,0.34,NA,4.77,24.33
"Crystal Lake","2016","Nov","max",11.27,6.76,16.23,23.6,931.05,96.6,6.52,1.54,-Inf,10.07,74.57
"Crystal Lake","2016","Nov","min",-4.26,-7.35,-3.39,0,910.2,52.77,-6,0,Inf,1.26,6.13
"Crystal Lake","2016","Nov","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2016","Dec","mean",-13.81,-19.51,-8.77,0.03,928.52,85.69,-15.7,0.53,NA,5.06,27.76
"Crystal Lake","2016","Dec","max",-0.64,-2.33,0.99,0.4,948.44,93.32,-1.67,2.12,-Inf,10.32,46.81
"Crystal Lake","2016","Dec","min",-28.8,-33.38,-19.42,0,913.26,72.49,-31.23,0,Inf,0,6.7
"Crystal Lake","2016","Dec","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2017","Jan","mean",-9.13,-13.89,-4.82,1.31,926.43,84.3,-11.36,0.69,NA,5.79,31.14
"Crystal Lake","2017","Jan","max",3.51,0.88,7.37,27.8,942.27,94.88,1.57,2.24,-Inf,12.09,76.29
"Crystal Lake","2017","Jan","min",-29.06,-35.53,-19.89,0,898.89,68.29,-31.72,0,Inf,1.26,8.89
"Crystal Lake","2017","Jan","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2017","Feb","mean",-8.68,-14.79,-3.5,0.98,922.27,79.06,-11.85,0.66,NA,5.91,70.87
"Crystal Lake","2017","Feb","max",5.4,1.13,10.86,9,945.77,94.85,2,2.3,-Inf,13.6,130.25
"Crystal Lake","2017","Feb","min",-24.91,-34.51,-13.51,0,899.74,52.93,-28.46,0,Inf,2.01,22.85
"Crystal Lake","2017","Feb","obs_na",0,0,0,0,0,0,0,0,28,0,0
"Crystal Lake","2017","Mar","mean",-2.68,-8.02,2.83,0.98,921.95,74.42,-6.97,0.98,NA,7.79,119.1
"Crystal Lake","2017","Mar","max",5.03,0.77,11.57,8.6,934.32,90.63,1.53,2,-Inf,17.38,202.76
"Crystal Lake","2017","Mar","min",-15.92,-28.92,-9.68,0,913.06,57.49,-19.86,0.04,Inf,3.02,53.9
"Crystal Lake","2017","Mar","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2017","Apr","mean",3.54,-2.56,9.62,1.4,923.43,72.17,-1.6,0.95,NA,7.88,193.65
"Crystal Lake","2017","Apr","max",5.91,0.38,14.7,6.2,935.72,90.86,1.26,2.8,-Inf,11.84,303.69
"Crystal Lake","2017","Apr","min",0.77,-9,3.72,0,907.14,52.67,-7.93,0.17,Inf,4.78,100.82
"Crystal Lake","2017","Apr","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2017","May","mean",10.07,2.04,17.48,2.91,925.65,70.31,3.85,0.84,NA,8.07,232.03
"Crystal Lake","2017","May","max",17.15,10.59,29.59,17,934.98,94.87,10.15,2.14,-Inf,14.86,367.13
"Crystal Lake","2017","May","min",3.69,-3.33,7.59,0,915.13,51.21,-2.19,0.19,Inf,4.78,68.01
"Crystal Lake","2017","May","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2017","Jun","mean",12.78,4.41,19.79,2.07,925.32,67.79,5.83,0.99,NA,8.04,259.51
"Crystal Lake","2017","Jun","max",19.74,10.39,29.22,35,937.4,93.42,9.97,2.15,-Inf,14.86,381.77
"Crystal Lake","2017","Jun","min",7.84,-2.31,10.86,0,914.35,49.12,0.16,0.16,Inf,5.04,53.59
"Crystal Lake","2017","Jun","obs_na",0,0,0,0,0,0,0,0,30,0,0
"Crystal Lake","2017","Jul","mean",14.54,5.75,21.95,1.15,928.42,68.6,7.86,0.82,NA,7.91,258.41
"Crystal Lake","2017","Jul","max",20.74,11.71,31.94,11.8,938.88,83,11.54,2.05,-Inf,12.84,364
"Crystal Lake","2017","Jul","min",10.4,0.08,13.74,0,924.15,51.18,3.51,0.27,Inf,4.78,105.46
"Crystal Lake","2017","Jul","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2017","Aug","mean",15.65,7.05,23.42,1.08,927.81,69.49,9,0.79,NA,6.74,196.55
"Crystal Lake","2017","Aug","max",22.28,11.86,34.68,10.2,938.72,93.63,12.51,1.91,-Inf,13.35,321.29
"Crystal Lake","2017","Aug","min",9.86,3.2,15.03,0,919.3,50.76,5.09,0.21,Inf,4.03,55.15
"Crystal Lake","2017","Aug","obs_na",0,0,0,0,0,0,0,0,31,0,0
"Crystal Lake","2017","Sep","mean",9.68,2.97,16.73,2.16,927.04,82.37,6.37,0.61,359.4,6,126.84
"Crystal Lake","2017","Sep","max",14.68,10.57,28.12,11.4,937.21,94.12,12.81,1.75,80.72,12.09,215.05
"Crystal Lake","2017","Sep","min",3.9,-4.02,8.89,0,916.02,63.38,0.78,0.13,302.03,3.02,39.15
"Crystal Lake","2017","Sep","obs_na",0,0,0,0,0,0,0,0,14,0,0
"Crystal Lake","2017","Oct","mean",3.17,-1.61,8.33,3.08,926.77,83.56,0.44,0.94,359.8,7.12,74.94
"Crystal Lake","2017","Oct","max",8.72,7.19,16.15,28,942.29,94.92,6.38,1.99,87.69,14.61,158.73
"Crystal Lake","2017","Oct","min",-1.75,-9.64,1.91,0,903.78,70.15,-4.74,0.11,270.24,3.27,13
"Crystal Lake","2017","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2017","Nov","mean",-5.14,-8.84,-1.69,1.58,921.35,86.88,-7.1,0.81,346.9,5.77,30.71
"Crystal Lake","2017","Nov","max",2.84,1.45,4.61,22.2,935.83,96.6,1.79,2.5,84.93,14.61,90.82
"Crystal Lake","2017","Nov","min",-12.7,-20.84,-11.4,0,904.85,54.01,-17.9,0,274.93,1.76,5.76
"Crystal Lake","2017","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2017","Dec","mean",-11.76,-17.43,-7.29,0.36,935.99,89.96,-13.06,0.36,345.6,4.26,25.66
"Crystal Lake","2017","Dec","max",0.44,0.05,3.3,5.6,950.18,95.53,-0.25,1.6,87.57,7.81,54.62
"Crystal Lake","2017","Dec","min",-27.83,-36.6,-22.17,0,918.51,79.07,-30.17,0,275.88,0.76,8.16
"Crystal Lake","2017","Dec","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2018","Jan","mean",-9.06,-13.88,-4.96,1.11,925.18,89.26,-10.52,0.52,333.56,4.58,24.91
"Crystal Lake","2018","Jan","max",1.74,-0.14,4.79,13.8,941.37,94.95,-0.08,2.35,82.95,10.32,68.42
"Crystal Lake","2018","Jan","min",-27.07,-33.38,-22.12,0,908.58,79.62,-29.4,0,273.11,1.76,6.5
"Crystal Lake","2018","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2018","Feb","mean",-14.13,-22.09,-7.8,0.01,928.92,82.91,-16.46,0.98,346.95,6.14,74.83
"Crystal Lake","2018","Feb","max",-2.31,-7.45,2.98,0.4,943.49,89.84,-5.33,2.39,79.04,13.6,127.13
"Crystal Lake","2018","Feb","min",-27.24,-36.97,-19.19,0,909.25,75.23,-29.79,0.06,271.19,2.27,13.06
"Crystal Lake","2018","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2018","Mar","mean",-3.53,-10.37,2.89,0.79,925.19,77.66,-7.18,1.09,3.77,6.86,126.73
"Crystal Lake","2018","Mar","max",3.45,0.8,13.55,8.6,937.48,95.24,0.2,3.27,87.68,17.12,229
"Crystal Lake","2018","Mar","min",-15.34,-28.02,-7.41,0,913.1,63.08,-19.62,0.15,303.77,2.27,62.49
"Crystal Lake","2018","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2018","Apr","mean",2.16,-4.94,9.01,0.53,925.47,64.95,-4.47,1.28,355.51,7.87,207.89
"Crystal Lake","2018","Apr","max",8.82,2.13,21.99,4.6,937.94,83.4,0.85,2.33,70.08,12.59,315.68
"Crystal Lake","2018","Apr","min",-6.15,-13.47,-0.79,0,913.21,44.29,-15.17,0.32,272.83,4.03,79.46
"Crystal Lake","2018","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2018","May","mean",11.8,2.22,19.6,0.4,927.23,63.68,3.89,1.05,15.7,7.89,259.23
"Crystal Lake","2018","May","max",18.52,9.24,28.17,4,933.75,83.89,9.29,2.32,83.05,12.84,387.13
"Crystal Lake","2018","May","min",4.47,-5.57,9.9,0,920.67,43.08,-2.53,0.52,285.87,5.04,98.17
"Crystal Lake","2018","May","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2018","Jun","mean",13.16,4.84,20.01,1.44,925.01,65.96,5.96,1.34,24.76,8.5,249.81
"Crystal Lake","2018","Jun","max",21.88,10.83,33.63,7,931.66,87.71,14.08,2.97,87.63,13.09,394.1
"Crystal Lake","2018","Jun","min",7.96,-0.17,10.49,0,919.69,51.43,0.69,0.44,280.38,4.28,69.16
"Crystal Lake","2018","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2018","Jul","mean",16.07,6.73,24.3,1.75,931.69,67.85,9.04,0.99,26.5,7.64,253.22
"Crystal Lake","2018","Jul","max",22.05,16.94,33.44,19.8,938.81,91.9,14.52,2.23,70.36,12.09,375.41
"Crystal Lake","2018","Jul","min",11.15,-1.27,14.46,0,926.94,46.45,4.19,0.36,334.2,4.78,105.62
"Crystal Lake","2018","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake","2018","Aug","mean",15.17,6.29,22.98,0.8,927.91,65.78,7.89,0.86,9.81,7.08,188.96
"Crystal Lake","2018","Aug","max",19.82,13.04,28.69,10.2,937.01,85.96,13.3,1.56,70.35,16.37,309.1
"Crystal Lake","2018","Aug","min",10.23,-1.58,15.34,0,920.66,47.12,2.24,0.41,311.85,4.78,80.77
"Crystal Lake","2018","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0
